PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,SALARY,Player_Comp_Share,Season
lexi held,32,14.7,5.3,1.9,5.1,37.8,0.9,2.8,30.8,0.6,0.7,81.8,0.3,0.7,1.1,1.1,0.7,0.2,0.9,4.2,66079,0.0007105268817,2025
kathryn westbeld,43,18.4,5.1,1.8,5,35.8,1,3,32.1,0.6,0.7,78.1,0.7,1.8,2.5,0.9,0.8,0.6,0.6,6,66079,0.0007105268817,2025
rebecca allen,44,18.7,5.1,1.9,5.5,34.2,1,3,31.8,0.4,0.7,61.3,0.4,2.2,2.6,1.3,0.5,0.5,0.9,5.3,160000,0.001720430108,2025
isabelle harrison,34,10.6,4.9,1.9,3.9,48.5,0.1,0.4,26.7,1,1.3,76.7,0.9,1.8,2.6,0.7,0.6,0.1,0.7,5.9,78831,0.0008476451613,2025
natasha mack,34,18.3,4.7,2.1,3.6,57.3,0,0.1,0,0.5,1.1,47.2,2.3,3.5,5.8,0.9,0.9,1.5,0.4,11.2,116079,0.00124816129,2025
damiris dantas,38,11.6,4.6,1.7,4.8,34.8,0.7,2.5,26.3,0.6,0.7,85.7,0.7,1.7,2.4,0.7,0.2,0.1,0.8,3.9,100000,0.001075268817,2025
maria kliundikova,34,11,4.4,1.9,3.8,50,0.2,0.7,32,0.4,0.6,57.1,1.3,1.7,3,0.6,0.7,0.8,0.7,6.6,54418,0.0005851397849,2025
kierstan bell,35,12.2,4.2,1.5,4.4,33.8,0.9,2.9,29.1,0.3,0.4,80,0.6,1.2,1.8,0.7,0.4,0.3,0.5,3.8,84543,0.0009090645161,2025
lucy olsen,41,12.4,4,1.6,3.9,41.5,0.5,1.7,27.1,0.3,0.4,82.4,0.3,0.9,1.2,1.2,0.4,0.1,0.5,4,69261,0.0007447419355,2025
diamond miller,40,10.9,4,1.4,3.4,40.3,0.4,1.3,33.3,0.9,1.2,76.1,0.3,1,1.3,0.8,0.3,0.2,0.9,3.4,83371,0.0008964623656,2025
alysha clark,42,19.7,3.9,1.4,3.8,37.1,0.6,2.3,27.1,0.5,0.6,73.1,0.4,2.4,2.8,1.2,0.6,0.1,0.5,5.5,205908,0.002214064516,2025
nia coffey,44,10.3,3.9,1.3,3.3,37.4,0.5,1.9,29.3,0.8,1.1,72,0.6,2,2.6,1,0.2,0.4,0.7,5,150000,0.001612903226,2025
aaliyah nye,44,15.3,3.8,1.3,3.9,34.5,0.8,2.7,31.4,0.3,0.4,82.4,0.3,1.2,1.5,0.5,0.3,0.2,0.6,3.2,69267,0.0007448064516,2025
stefanie dolson,43,15.2,3.7,1.4,3.3,42.3,0.6,1.7,36,0.3,0.5,70,0.4,1.9,2.3,1.4,0.3,0.3,0.7,5.3,170000,0.001827956989,2025
rebekah gardner,41,12.2,3.7,1.3,2.7,50,0.5,1,47.6,0.5,0.7,81.5,0.7,1.1,1.8,0.6,0.6,0.2,0.6,4.9,66079,0.0007105268817,2025
emily engstler,40,12.8,3.7,1.3,3.4,39.6,0.4,1.6,25.4,0.6,0.9,66.7,0.9,2.3,3.3,1.5,0.7,0.7,1,6.5,81079,0.0008718172043,2025
tiffany mitchell,39,13.1,3.2,1,2.6,39.2,0.3,0.8,36.7,0.9,1.2,74.5,0.3,0.8,1.1,0.3,0.4,0.2,0.6,2.7,40789,0.0004385913978,2025
tiffany mitchell,39,13.1,3.2,1,2.6,39.2,0.3,0.8,36.7,0.9,1.2,74.5,0.3,0.8,1.1,0.3,0.4,0.2,0.6,2.7,42397,0.0004558817204,2025
sarah ashlee barker,34,14.1,3.1,1,3.1,33.7,0.5,1.8,29.5,0.5,0.7,70.8,0.3,1.6,1.9,0.9,0.3,0.1,1.1,3.1,72455,0.0007790860215,2025
stephanie talbot,38,14.2,2.9,1,2.7,37.5,0.4,1.5,28.6,0.5,0.7,64.3,0.7,2,2.7,1.7,0.5,0.2,1.1,5,125000,0.001344086022,2025
stephanie talbot,38,14.2,2.9,1,2.7,37.5,0.4,1.5,28.6,0.5,0.7,64.3,0.7,2,2.7,1.7,0.5,0.2,1.1,5,35110,0.0003775268817,2025
julie vanloo,35,12.8,2.8,0.9,3.2,29.7,0.7,2.6,27.2,0.2,0.3,80,0.1,0.8,0.9,1.9,0.4,0,1.4,2.4,66079,0.0007105268817,2025
makayla timpson,31,7.1,2.6,1,1.8,56.1,0,0,0,0.6,0.9,66.7,0.6,1.3,1.8,0,0.4,0.3,0.3,3.8,69267,0.0007448064516,2025
lindsay allen,31,14.5,2.4,0.8,2.1,40,0.1,0.6,16.7,0.6,0.7,82.6,0.3,0.7,1,2,0.3,0.2,1,3.5,90000,0.0009677419355,2025
haley peters,33,11.5,2.1,0.8,2.5,30.5,0.2,1.2,20.5,0.3,0.4,76.9,0.8,1.5,2.2,0.8,0.3,0.1,0.7,3,78829,0.0008476236559,2025
shatori walker-kimbrough,41,8.6,1.7,0.6,1.5,41.3,0.3,0.8,35.5,0.2,0.3,72.7,0.1,0.8,0.9,0.5,0.2,0.3,0.4,2.3,150000,0.001612903226,2025
kiah stokes,40,12.9,1.1,0.5,1.3,35.3,0.1,0.6,13,0.1,0.2,62.5,0.7,2.9,3.6,0.4,0.4,0.4,0.4,4.6,103000,0.001107526882,2025
a'ja wilson,38,34.4,26.9,10.1,19.6,51.8,0.5,1.6,31.7,6.1,7.2,84.4,2.1,9.8,11.9,2.3,1.8,2.6,1.3,33.6,227303,0.0122205914,2024
arike ogunbowale,38,38.6,22.2,7.3,19.2,38.3,2.9,8.5,34.6,4.6,5,92.1,0.8,3.8,4.6,5.1,2.1,0.3,2.7,19.4,241984,0.01300989247,2024
kahleah copper,37,32.4,21.1,7.4,17,43.5,1.9,5.9,31.4,4.5,5.6,80.7,0.6,3.9,4.5,2.3,0.8,0.1,3,15.2,241984,0.01300989247,2024
breanna stewart,38,32.7,20.4,7,15.2,45.8,1.2,4.1,29.5,5.3,6.3,84.5,1.6,6.9,8.5,3.5,1.7,1.3,1.7,24.5,205000,0.01102150538,2024
napheesa collier,34,34.7,20.4,7.9,16,49.2,0.9,2.9,31,3.7,4.6,80.4,2.2,7.5,9.7,3.4,1.9,1.4,2.1,25.7,215469,0.01158435484,2024
jewell loyd,37,33.7,19.7,6.1,16.8,36,1.6,5.8,27.4,6,6.8,88.1,0.7,3.8,4.5,3.6,1.4,0.2,2.3,15.6,241984,0.01300989247,2024
caitlin clark,40,35.4,19.2,6.1,14.5,41.7,3.1,8.9,34.4,4.1,4.5,90.6,0.4,5.3,5.7,8.4,1.3,0.7,5.6,20.9,76535,0.004114784946,2024
kelsey mitchell,40,32,19.2,7.1,15.1,46.8,2.7,6.8,40.2,2.4,2.8,83.2,0.7,1.8,2.5,1.8,0.7,0.2,1.6,14.2,212000,0.01139784946,2024
sabrina ionescu,38,32.1,18.2,6.3,15.9,39.4,2.8,8.4,33.3,2.8,3.1,89.8,0.7,3.7,4.4,6.2,1,0.3,2.7,17.4,202000,0.01086021505,2024
kelsey plum,38,34,17.8,6.1,14.4,42.3,2.9,7.9,36.8,2.7,3.1,86.6,0.3,2.3,2.6,4.2,0.7,0,2.4,14.1,200000,0.01075268817,2024
brittney griner,30,28.7,17.8,7.3,12.6,57.9,0.3,0.6,50,2.9,3.7,77.7,1.8,4.8,6.6,2.3,0.5,1.5,1.8,20.8,150000,0.008064516129,2024
chennedy carter,33,26,17.5,7.2,14.8,48.7,0.3,0.9,29,2.8,3.8,73,0.7,2.9,3.5,3.1,1.1,0.2,1.7,15.1,76535,0.004114784946,2024
rhyne howard,30,33.9,17.3,5.6,15,37.1,2.7,8.1,32.9,3.5,4.5,78.4,0.8,3.5,4.4,3.1,1.8,0.6,1.7,15.1,80943,0.004351774194,2024
dearica hamby,40,33.7,17.3,6.7,13.1,51.2,0.8,2.2,34.1,3.1,5,63.1,1.5,7.7,9.2,3.5,1.7,0.2,3,20.7,189000,0.01016129032,2024
nneka ogwumike,37,31.8,16.7,6.8,13.3,51.1,0.8,2,40.5,2.3,2.6,87.6,1.9,5.7,7.6,2.3,1.9,0.5,1.3,20.9,204500,0.01099462366,2024
jackie young,37,32.6,15.8,5.4,12.6,43,1.9,5.6,33.7,3,3.5,86.7,0.7,3.6,4.4,5.3,1,0.2,2.1,16.9,169950,0.009137096774,2024
allisha gray,40,33.2,15.6,5.1,12.7,40.3,1.7,5.1,34.2,3.6,4.7,76.9,1.1,3.3,4.4,2.7,1.1,0.7,1.7,14,185000,0.009946236559,2024
skylar diggins,40,31.6,15.1,5.5,12.8,42.7,1,3.4,29.1,3.3,3.8,86.7,0.7,1.9,2.6,6.4,1.7,0.9,2.8,16.2,208219,0.01119456989,2024
