,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
127,Eddie Griffin,MIN,24,6,2,4,20.5,9.5,3.3,7.8,42.6,1.7,3.3,50,1.2,1.3,87.5,0.5,3.8,4.3,0.7,1.2,0.5,2,1.8,22,0,0,-5.7,2500000,0.0005
127,Luol Deng,CHI,21,6,3,3,20.7,9.5,3.7,8.5,43.1,0.7,1.7,40,1.5,1.8,81.8,0.8,3,3.8,1.3,2,1.7,0.2,2.2,19.6,0,0,-3.5,2443920,0.000488784
127,Morris Peterson,TOR,28,4,2,2,20.6,9.5,3.3,8.5,38.2,0.5,2.5,20,2.5,3.8,66.7,0,2.8,2.8,0.8,0.3,1.8,0.3,2.3,19.7,0,0,5.8,4550000,0.00091
127,Speedy Claxton,NOK,28,2,1,1,23.9,9.5,2.5,4.5,55.6,0,0.5,0,4.5,6,75,1,1.5,2.5,2.5,1.5,2,0,2.5,20.8,0,0,5.5,3600000,0.00072
127,Troy Hudson,MIN,30,2,0,2,27,9.5,3.5,7.5,46.7,0,2,0,2.5,4,62.5,0.5,3,3.5,5.5,2.5,0.5,0,1,21,0,0,-4.5,5253000,0.0010506
132,Francisco Garcia,SAC,24,5,3,2,20.2,9.4,3.4,8.4,40.5,1.6,4.6,34.8,1,1.4,71.4,0.6,2,2.6,1.2,0.8,0.4,0.4,3.6,15.9,0,0,1,1016400,0.00020328
133,Joey Graham,TOR,24,3,2,1,23.7,9.3,4,7.7,52.2,0.3,1.3,25,1,1,100,0.7,1,1.7,1,1.3,1.3,0,2.7,15.5,0,0,5.7,1388400,0.00027768
133,Lamar Odom,LAL,26,3,2,1,29.5,9.3,2,6.7,30,0.7,2.7,25,4.7,4.7,100,2,5.3,7.3,5,3,0.7,0.7,3.7,26.6,0,0,-3.7,11448596,0.0022897192
135,Justin Reed,MIN,24,8,3,5,15.4,9.3,3.4,7.5,45,0,0,0,2.5,2.9,87,0.6,1.3,1.9,0.5,0.9,0.1,0.4,2.3,12.9,0,0,-4,641748,0.0001283496
136,Jameer Nelson,ORL,24,5,4,1,24.9,9.2,2.8,8.8,31.8,0.4,1.8,22.2,3.2,4.8,66.7,0.2,2.2,2.4,3.6,1.8,1,0,3,18.7,0,0,-0.2,1189200,0.00023784
136,Maurice Evans,DET,27,5,2,3,18.2,9.2,3.4,6.4,53.1,1.4,2,70,1,1.4,71.4,0.6,2.4,3,0.4,1.2,0.6,0.2,1.8,14.6,0,0,-1,1500000,0.0003
138,Juwan Howard,HOU,33,6,6,0,26.5,9.2,3.3,8.3,40,0,0,0,2.5,3,83.3,1.3,5.2,6.5,1.5,1.7,0.7,0,1.8,19.6,0,0,-3.7,5900400,0.00118008
139,Andre Owens,UTA,25,5,1,4,19.4,9,3,5.6,53.6,0.8,1.2,66.7,2.2,2.4,91.7,0,1.8,1.8,0.4,0.6,0.6,0,2.6,13,0,0,-2,398762,7.98E-05
139,Andrew Bogut,MIL,21,8,3,5,28.7,9,3.5,6.8,51.9,0,0,0,2,3.3,61.5,2.8,4.1,6.9,2.1,1.9,1,0.4,3.4,22.7,0,0,0,4340520,0.000868104
139,Bobby Jackson,MEM,33,4,3,1,17.3,9,3.3,6.3,52,1.5,2.8,54.5,1,1.3,80,0.5,1.3,1.8,3.8,1.3,1,0,2.3,18.5,0,0,6,3375000,0.000675
139,Devin Harris,DAL,23,8,6,2,22.8,9,2.9,6.5,44.2,0.1,0.4,33.3,3.1,4.3,73.5,0.5,1.1,1.6,3.1,1.4,1.3,0.3,3.4,18.8,0,0,2.3,2947440,0.000589488
139,Jake Voskuhl,CHA,28,5,2,3,24,9,3.8,8.4,45.2,0,0,0,1.4,2.2,63.6,1.6,4.2,5.8,0.8,1,0.6,0,4.6,18,1,0,2,2015625,0.000403125
139,Jalen Rose,NYK,33,5,3,2,23,9,2.4,6.2,38.7,0.2,0.8,25,4,4.2,95.2,0.4,1.8,2.2,3.2,1.6,1,0,1.8,17.8,0,0,-1.2,15694250,0.00313885
139,Mario Kasun,ORL,26,2,1,1,16.7,9,4.5,6.5,69.2,0,0,0,0,0,0,2,3,5,0,0.5,2,0.5,4.5,22,0,0,6.5,641748,0.0001283496
139,Mike Bibby,SAC,28,5,3,2,24.7,9,3.2,8.4,38.1,0.4,2,20,2.2,3,73.3,0.6,1.6,2.2,3.4,1.4,1.6,0,1.2,20.1,0,0,4,11500000,0.0023
139,Rasual Butler,NOK,27,4,2,2,19.7,9,3.8,9.8,38.5,0.8,2,37.5,0.8,1,75,0.8,3.3,4,0.5,1,1,0.8,1.8,18.8,0,0,-2,1300000,0.00026
139,Salim Stoudamire,ATL,23,3,0,3,26.5,9,3,8.7,34.6,1.7,3.7,45.5,1.3,1.7,80,0,1.7,1.7,1.7,2,0.3,0,1.7,12.5,0,0,-5.7,675000,0.000135
139,Samuel Dalembert,PHI,26,1,0,1,20.7,9,4,7,57.1,0,0,0,1,2,50,3,3,6,0,1,0,2,2,21.2,0,0,16,8477178,0.0016954356
150,Dahntay Jones,MEM,25,7,5,2,22.7,8.9,3.1,7,44.9,1,1.7,58.3,1.6,2.3,68.8,0.1,2.1,2.3,1.9,1.6,0.9,0.6,2.3,17.1,0,0,5,1223160,0.000244632
151,Antawn Jamison,WAS,30,6,2,4,23,8.8,3.5,12,29.2,0.3,2.7,12.5,1.5,2.5,60,0.8,3.5,4.3,1.3,0.8,1.2,0.3,1.3,19.7,0,0,1.3,13843156,0.0027686312
151,Antonio Daniels,WAS,31,6,2,4,28.9,8.8,2.7,7,38.1,0.7,1.5,44.4,2.8,3.7,77.3,0.2,1.5,1.7,2.8,1.5,0.5,0.2,1.2,15.6,0,0,0.3,5000000,0.001
151,Daniel Ewing,LAC,23,6,4,2,21.2,8.8,3.2,6.2,51.4,1.3,2,66.7,1.2,1.7,70,0.3,1.3,1.7,2.7,1.8,0.5,0,1.8,14.5,0,0,-2.8,450000,9.00E-05
151,Donyell Marshall,CLE,33,6,3,3,19.7,8.8,2.8,8.2,34.7,1.5,4.8,31,1.7,2.2,76.9,0.7,4,4.7,0.8,2.2,1,0.7,1.2,18.5,0,0,3.7,4799108,0.0009598216
151,Stephon Marbury,NYK,29,6,2,4,23.6,8.8,2.7,7.2,37.2,0.3,1,33.3,3.2,4,79.2,0,2.2,2.2,3.2,3.2,1.3,0,1.8,17,0,0,-1.2,16453125,0.003290625
156,Alonzo Mourning,MIA,36,5,2,3,14.9,8.8,2.8,4.2,66.7,0,0,0,3.2,5.2,61.5,1.4,1.6,3,0.2,1.6,0.2,2.8,1.8,20.1,0,0,-1.4,1138500,0.0002277
156,Lee Nailon,PHI,31,5,2,3,19.9,8.8,3.8,9.4,40.4,0,0,0,1.2,2.2,54.5,1,2.2,3.2,1,1,0.8,0,2.6,15.5,0,0,2.8,835810,0.000167162
158,Derek Fisher,GSW,31,4,1,3,21,8.8,3,8.5,35.3,0.3,1.5,16.7,2.5,2.8,90.9,0.5,0.3,0.8,2,1.8,1.5,0,2,15.4,0,0,-7.3,5393300,0.00107866
158,Travis Outlaw,POR,21,4,1,3,14.8,8.8,3.3,5.8,56.5,0.8,1.3,60,1.5,2,75,0.3,0.3,0.5,0,0.5,1.3,0.3,1.3,13.4,0,0,-3.3,1082160,0.000216432
160,Derek Anderson,MIA,31,7,6,1,25.6,8.7,2.7,5.4,50,0.6,1.6,36.4,2.7,3.3,82.6,0.4,1.9,2.3,2.9,1.9,1.1,0,2.3,17.3,0,0,0.1,1670000,0.000334
160,Jared Jeffries,WAS,24,7,2,5,24.6,8.7,3,6.9,43.8,0.1,0.3,50,2.6,4,64.3,2.4,2.9,5.3,2.1,1.9,1.1,0.1,2.6,20.3,0,0,-0.3,2433824,0.0004867648
162,Kareem Rush,CHA,25,6,3,3,25,8.7,3.5,10.5,33.3,0.8,3.3,25,0.8,1,83.3,0.5,2.3,2.8,1.3,1.5,2.2,0,3.3,19.1,0,0,-2.5,3000000,0.0006
162,Zach Randolph,POR,24,3,1,2,19.5,8.7,3,8.3,36,0,0,0,2.7,2.7,100,3.7,3,6.7,0.7,0.3,0.7,0,1,19.3,0,0,-4.3,10666667,0.0021333334
164,Damien Wilkins,SEA,26,6,2,4,21.4,8.5,3.3,7.7,43.5,0.5,1.7,30,1.3,2.3,57.1,1,2.3,3.3,1.2,1.5,0.8,0.3,2.5,16.3,0,0,-2,2500000,0.0005
164,Jon Barry,HOU,36,6,5,1,22.5,8.5,2.3,6.3,36.8,1.3,2.8,47.1,2.5,2.5,100,0.3,3.7,4,2.8,1,1,0.3,0.8,20.6,0,0,6.2,1800000,0.00036
164,Sarunas Jasikevicius,IND,30,8,5,3,21.7,8.5,3,6.1,49,1.1,3.1,36,1.4,1.6,84.6,0.3,1.4,1.6,3,1.8,1,0.1,1.9,16.6,0,0,6.5,4000000,0.0008
167,Hakim Warrick,MEM,23,7,5,2,20.7,8.4,2.9,7.3,39.2,0,0,0,2.7,4.1,65.5,1.4,1.7,3.1,0.6,2.7,0.7,0.1,3.1,12.9,0,0,-1.6,1196520,0.000239304
168,Michael Finley,SAS,33,5,0,5,21.2,8.4,3.4,8.4,40.5,0.2,1.2,16.7,1.4,2,70,0.4,1.6,2,1.8,0.2,0.2,0,1.6,13.9,0,0,3,2675000,0.000535
169,Kenny Thomas,SAC,28,4,2,2,23.5,8.3,3.3,7,46.4,0,0,0,1.8,2,87.5,1.8,4.3,6,2.3,2,0.3,0.3,1,18.3,0,0,-4,8183769,0.0016367538
169,Kirk Snyder,NOK,23,4,2,2,11.9,8.3,2.5,5,50,0.5,1.8,28.6,2.8,4.3,64.7,0.3,1,1.3,1.3,1.5,0.3,0,1,10.9,0,0,3.3,1437240,0.000287448
169,Raef Lafrentz,BOS,30,8,3,5,20.8,8.3,3.1,5.8,54.3,1,2.1,47.1,1,1.8,57.1,0.8,3.4,4.1,1.5,1.3,0.4,0.9,2.8,18,0,0,2,10623288,0.0021246576
172,Brian Skinner,POR,30,5,3,2,17.5,8.2,3,5.2,57.7,0,0,0,2.2,2.6,84.6,1.6,2.2,3.8,0.8,1.2,0.2,0.6,1.6,15.2,0,0,3.8,4950000,0.00099
172,Gerald Wallace,CHA,23,5,3,2,22.5,8.2,3.8,7.4,51.4,0,0,0,0.6,1.4,42.9,0.6,1.6,2.2,2.2,1.2,1.6,0.8,2.4,20.1,0,0,0.2,5000000,0.001
174,David Wesley,HOU,35,6,5,1,28.4,8.2,2.7,9,29.6,0.7,3.5,19,2.2,3,72.2,0.2,1.3,1.5,2.3,1.3,0.8,0,2.5,14.6,0,0,0.2,5075000,0.001015
175,Brent Barry,SAS,34,5,0,5,18,8,2.8,5.6,50,1.6,3.6,44.4,0.8,0.8,100,0.4,2,2.4,2.4,0.6,0.4,0.2,2.2,15.7,0,0,0.2,4691390,0.000938278
175,David Harrison,IND,23,1,0,1,15.4,8,3,10,30,0,0,0,2,2,100,3,2,5,0,3,0,1,1,14,0,0,-8,898200,0.00017964
175,Luke Jackson,CLE,24,6,3,3,23.8,8,2.2,7.5,28.9,0.8,3.7,22.7,2.8,3.2,89.5,0.5,2,2.5,1.3,1.3,1.3,0.5,2.8,17.2,0,0,1.3,1955160,0.000391032
175,Matt Bonner,TOR,26,3,1,2,25.6,8,2.7,6.7,40,1,2.7,37.5,1.7,2,83.3,2,2.7,4.7,1,0.3,0.7,0.7,3.3,18.8,0,0,-5.7,2000000,0.0004
179,Ryan Gomes,BOS,23,8,3,5,20.9,7.9,2.5,5.5,45.5,0.1,0.3,50,2.8,3.5,78.6,1.8,3.1,4.9,0.8,1.1,1.3,0.1,1.6,17.9,0,0,1,428762,8.58E-05
180,Nick Collison,SEA,25,6,2,4,20.8,7.8,3.2,6,52.8,0,0.2,0,1.5,1.8,81.8,1.8,4.7,6.5,0.8,2,0.5,0.5,3,17.9,1,0,0,1815000,0.000363
180,Quinton Ross,LAC,25,6,4,2,25.2,7.8,3.2,7.7,41.3,0,0,0,1.5,2.5,60,1.5,2,3.5,1.3,0.3,0.8,0.5,2,17.7,0,0,6.2,719373,0.0001438746
180,Rasheed Wallace,DET,31,6,3,3,20.3,7.8,3.3,7.3,45.5,0.5,1.7,30,0.7,0.8,80,1.3,4,5.3,0.7,1.3,0.8,1.2,2.7,19.9,0,0,1.8,10860000,0.002172
183,Matt Barnes,PHI,26,5,2,3,21.1,7.8,3.4,6.6,51.5,0,0.4,0,1,1.6,62.5,1.6,3.8,5.4,1.4,1.2,0.4,0.2,3.4,17,0,0,1.6,627251,0.0001254502
184,Al Jefferson,BOS,21,4,2,2,17.2,7.8,3.3,7,46.4,0,0,0,1.3,1.5,83.3,0.5,2.5,3,0.3,2.5,0.8,1.8,5,16.7,0,0,-1.8,1512840,0.000302568
184,Ronald Dupree,MIN,25,4,2,2,15.6,7.8,3.5,5.8,60.9,0,0,0,0.8,2.3,33.3,1.3,2.3,3.5,0.8,0.8,0,0.8,2.5,14.6,0,0,1.5,719373,0.0001438746
186,Lamond Murray,NJN,33,7,5,2,18.3,7.7,2.9,5.9,48.8,0.7,1.4,50,1.3,2,64.3,0.4,2.3,2.7,1.1,1.4,0.7,0,2.7,13.4,0,0,-1.7,719373,0.0001438746
187,Chris Kaman,LAC,24,3,2,1,23.9,7.7,2.3,5,46.7,0,0,0,3,3.3,90,0.7,6.3,7,1.3,1.3,0,1,2,19.7,0,0,10.7,2753760,0.000550752
187,Darko Milicic,ORL,21,6,3,3,21,7.7,2.5,5.8,42.9,0,0.2,0,2.7,3.3,80,1.5,2.8,4.3,1,2.2,0.5,3,3.3,22.7,0,0,2.2,4135200,0.00082704
187,Jonathan Bender,IND,25,6,3,3,13.5,7.7,2.2,4.5,48.1,0,0.2,0,3.3,4.2,80,0.2,1.3,1.5,0.8,1,0.2,0.8,2.2,12.7,0,0,-3.7,7175000,0.001435
190,Rafael Araujo,TOR,25,5,3,2,19,7.6,3,5.4,55.6,0,0.2,0,1.6,1.8,88.9,0.6,2.6,3.2,0,2.6,0.4,0,4.2,10,0,0,0.2,2238960,0.000447792
191,Jason Hart,SAC,28,4,2,2,18.2,7.5,2,4.8,42.1,0,0.3,0,3.5,4,87.5,0.5,1,1.5,2.8,1,1.3,0,3.8,16.2,0,0,3.8,1540000,0.000308
191,Sebastian Telfair,POR,21,4,1,3,27.2,7.5,2,10,20,0.8,2.5,30,2.8,3.5,78.6,0.5,1.3,1.8,6.5,3.5,1.8,0,3.5,21.1,1,0,-5.3,1676280,0.000335256
193,Fabricio Oberto,SAS,31,3,0,3,15.1,7.3,3.3,5,66.7,0,0.3,0,0.7,2,33.3,0.7,2.3,3,0.3,1.3,0.3,0,2.7,11.1,0,0,-2.7,2325000,0.000465
193,Keith Bogans,HOU,26,6,3,3,21,7.3,2.7,7,38.1,0.2,2,8.3,1.8,2.3,78.6,1.2,2.5,3.7,1.7,1.5,0.8,0.5,1.8,16.7,0,0,-4.2,869373,0.0001738746
193,Trevor Ariza,ORL,20,6,2,4,22.2,7.3,2.5,5,50,0,0.2,0,2.3,3.2,73.7,2,2,4,0.8,1.5,1.5,0,2.5,16.4,0,0,3,641748,0.0001283496
196,Damon Stoudamire,MEM,32,7,5,2,24.6,7.3,2.4,6.6,37,0.6,2.4,23.5,1.9,2.4,76.5,0.4,2.1,2.6,3.4,2.1,0.9,0.3,2.1,16.8,0,0,7.7,4250000,0.00085
197,Mickael Pietrus,GSW,24,4,1,3,21.1,7.3,2,5.3,38.1,1,2.5,40,2.3,3.3,69.2,1,2.8,3.8,0.5,1.5,1.3,0.3,2.8,15.5,0,0,-8.5,1910520,0.000382104
198,Andres Nocioni,CHI,26,5,3,2,21.7,7.2,2.8,6,46.7,0.8,1,80,0.8,2.6,30.8,0.6,2.8,3.4,1,1.2,0.6,0.6,2,15.2,0,0,0.2,2775000,0.000555
198,Corliss Williamson,SAC,32,5,3,2,13.4,7.2,2.6,4.4,59.1,0,0,0,2,2.6,76.9,1.6,1.6,3.2,0.6,0.6,0.8,0.6,1.4,15.5,0,0,3.8,6000000,0.0012
198,Mike James,TOR,31,5,3,2,16.7,7.2,2.6,5.4,48.1,0.6,1.4,42.9,1.4,2,70,0,1.8,1.8,2.8,1,1,0,2.2,15.6,0,0,1,3410000,0.000682
201,Kurt Thomas,PHX,33,6,4,2,23.4,7.2,3.2,7.2,44.2,0,0.2,0,0.8,1.3,62.5,2.2,5.7,7.8,1.5,1.5,0.3,0.8,3.8,20.8,2,0,3.8,7085919,0.0014171838
202,Luther Head,HOU,23,7,6,1,18.1,7.1,2.6,5.7,45,1.1,2.7,42.1,0.9,1,85.7,0.3,1.4,1.7,2.6,2,0.4,0.1,1.6,12.8,0,0,2.6,975600,0.00019512
203,Brian Cook,LAL,25,3,2,1,13.9,7,2.3,5.7,41.2,0,0.3,0,2.3,2.7,87.5,2.3,2,4.3,1,1.3,0.3,0.3,1,14.4,0,0,1.7,1038960,0.000207792
203,Brian Grant,PHX,34,4,2,2,15.3,7,2.8,4.3,64.7,0,0,0,1.5,1.8,85.7,1.8,3,4.8,0.8,1.8,0,0.5,3.3,13.6,0,0,-3.5,1670000,0.000334
203,Carlos Arroyo,ORL,26,5,3,2,17.7,7,2.8,5.2,53.8,0,0.2,0,1.4,1.4,100,0,0.2,0.2,2.6,1.6,0.4,0,2,10.7,0,0,3.2,4000000,0.0008
203,Jackson Vroman,NOK,25,3,2,1,14,7,2.3,3.7,63.6,0,0,0,2.3,3.7,63.6,2,2,4,0,0.3,0,0.7,3,13.5,0,0,-3.7,641748,0.0001283496
203,Jerry Stackhouse,DAL,31,1,1,0,22.4,7,2,6,33.3,0,0,0,3,4,75,0,1,1,1,1,1,0,1,11.7,0,0,9,8367187,0.0016734374
203,Michael Bradley,PHI,27,1,0,1,27,7,3,5,60,0,0,0,1,2,50,1,3,4,3,0,0,0,2,16.3,0,0,-7,771123,0.0001542246
203,Othella Harrington,CHI,32,6,3,3,15,7,2.5,5,50,0,0,0,2,2.7,75,1.8,1.3,3.2,1.3,1,0.2,0.3,1.7,13.3,0,0,2.8,3200000,0.00064
203,P.J. Brown,NOK,36,4,2,2,23.9,7,2.5,4.8,52.6,0,0,0,2,2,100,1.3,2.3,3.5,0.5,1.8,0,0,3.3,10.2,0,0,4.8,8000000,0.0016
203,Randy Holcomb,CHI,26,4,3,1,11.5,7,2.3,4.3,52.9,0.5,0.5,100,2,2.8,72.7,1.8,1.3,3,0.5,1,1,0,1.3,13.4,0,0,6.5,,
203,Sergei Monia,SAC,23,3,0,3,14.1,7,3,4.7,64.3,1,1.7,60,0,1.3,0,1.7,1.7,3.3,0.3,0.7,0,0,1.3,10.8,0,0,3.7,1016400,0.00020328
203,Tim Thomas,PHX,29,2,1,1,15.1,7,3,8,37.5,0,0.5,0,1,2.5,40,0,1.5,1.5,0.5,0.5,0.5,0,1.5,10.6,0,0,-5,13975000,0.002795
203,Tyronn Lue,ATL,29,1,0,1,20.9,7,3,5,60,0,0,0,1,1,100,0,1,1,3,1,1,0,1,14.7,0,0,9,3500000,0.0007
203,Zendon Hamilton,PHI,31,4,1,3,14.2,7,2,2.8,72.7,0,0,0,3,4,75,1.5,2.8,4.3,0,1.5,0.3,0.3,1,12.1,0,0,1.5,835810,0.000167162
216,Boris Diaw,PHX,24,6,4,2,23.5,6.8,2.2,4.3,50,0.2,0.8,20,2.3,3.2,73.7,1.3,3,4.3,4.5,3.2,0.3,2,2.3,22.6,0,0,4.2,1174200,0.00023484
216,Eddie House,PHX,28,6,4,2,16.3,6.8,2.8,6.7,42.5,0.8,2.2,38.5,0.3,0.3,100,0.7,1.3,2,1.8,0.8,0.5,0.2,1.2,13.2,0,0,1.2,835810,0.000167162
218,Kevin Martin,SAC,23,5,3,2,21.3,6.8,2.2,5,44,0.2,1.2,16.7,2.2,2.6,84.6,1.4,2.6,4,1,2.6,1.8,0,2.6,15.9,0,0,2.2,937440,0.000187488
218,Kris Humphries,UTA,21,5,1,4,18.8,6.8,3.2,6.2,51.6,0,0,0,0.4,1.2,33.3,1.2,2,3.2,1.4,2.6,1,0.4,2.2,14.3,0,0,0.6,1592400,0.00031848
220,Zarko Cabarkapa,GSW,25,4,1,3,13.8,6.8,2.3,5.3,42.9,0.5,1.8,28.6,1.8,2,87.5,0.3,1.8,2,0.3,1.3,0,0,3.5,8.3,0,0,-11,1404360,0.000280872
221,Brendan Haywood,WAS,26,7,2,5,19.6,6.7,2.7,5.3,51.4,0,0,0,1.3,3.6,36,2.4,3,5.4,1,1.7,0.4,1.1,2.6,17.7,1,0,-2.3,4000000,0.0008
222,Ben Gordon,CHI,23,6,3,3,20.3,6.7,2.3,7.3,31.8,1.2,3,38.9,0.8,1.2,71.4,0.2,0.5,0.7,3.3,1.5,0.5,0,2.7,12.5,0,0,-1.7,3610200,0.00072204
222,Chris Mihm,LAL,26,3,2,1,18.4,6.7,2.7,5,53.3,0,0,0,1.3,2,66.7,1.7,2.3,4,0.7,1.3,0.7,0.7,4.3,15.1,0,0,-2.7,3792817,0.0007585634
222,Marvin Williams,ATL,20,3,0,3,20,6.7,2,5.3,37.5,0,0.3,0,2.7,4,66.7,1,2.3,3.3,0.3,1.3,1,0,3.7,12.8,0,0,-8.3,3883000,0.0007766
225,Carlos Delfino,DET,23,5,3,2,20,6.6,2.6,6,43.3,0.6,1.8,33.3,0.8,1.2,66.7,1.2,2,3.2,2.8,1,0.4,0.2,1.2,15.4,0,0,2.8,969600,0.00019392
225,Jose Calderon,TOR,24,5,3,2,24.5,6.6,2.2,6.4,34.4,0.6,2,30,1.6,1.6,100,0.8,2.8,3.6,5,1.8,0.6,0.4,2.4,19.6,0,0,3,2333334,0.0004666668
225,Walter Mccarty,LAC,32,5,3,2,22.2,6.6,2.4,6.2,38.7,1,2.8,35.7,0.8,1.8,44.4,0.2,2.6,2.8,1.4,0.6,0.8,0.4,2.8,15.1,0,0,-1,1035000,0.000207
228,Erick Dampier,DAL,30,4,4,0,22.2,6.5,2.8,5,55,0,0,0,1,2.3,44.4,2,4.8,6.8,1,2,0.3,0.5,2.8,16.4,0,0,0.8,7662500,0.0015325
228,Jiri Welsch,MIL,26,2,1,1,23.1,6.5,2.5,6,41.7,0,1,0,1.5,3.5,42.9,1,2,3,0.5,1.5,1.5,0,3.5,13.9,0,0,0.5,2177114,0.0004354228
228,Marcus Camby,DEN,32,2,1,1,27.2,6.5,3,7.5,40,0,0,0,0.5,2,25,1.5,6,7.5,2.5,2,0.5,3,1,27.8,0,0,-0.5,9400000,0.00188
228,Nazr Mohammed,SAS,28,2,0,2,15.7,6.5,2.5,5,50,0,0,0,1.5,2,75,1.5,2.5,4,0.5,0.5,0.5,0.5,3,14.6,0,0,-5.5,5500000,0.0011
232,Eduardo Najera,DEN,29,7,6,1,21,6.4,2,4,50,0,0.1,0,2.4,3.1,77.3,1,2.3,3.3,0.3,1.1,0.9,0.6,3.1,13.9,0,0,-2.7,4190476,0.0008380952
233,Bracey Wright,MIN,21,5,1,4,20.6,6.4,1.8,6.4,28.1,1.2,3.6,33.3,1.6,3.2,50,0.4,0.8,1.2,0.8,0.8,0,0.4,1.8,9.4,0,0,-10,398762,7.98E-05
233,David Lee,NYK,23,5,1,4,17.5,6.4,2,5.8,34.5,0,0,0,2.4,4.6,52.2,2.2,2.4,4.6,1.2,1.2,0.6,0.2,2.4,14.9,0,0,-2.8,861360,0.000172272
233,Sean Marks,SAS,30,5,0,5,15.5,6.4,2.8,5.6,50,0,0.2,0,0.8,1,80,1.2,2.4,3.6,0.2,1.6,0,1.4,1.6,13.6,0,0,-8.4,719373,0.0001438746
236,Ben Wallace,DET,31,6,3,3,24.2,6.3,3,7.3,40.9,0,0.2,0,0.3,1.7,20,2.5,7.2,9.7,1.2,1.2,0.5,1.7,2,25,0,0,2.7,7500000,0.0015
236,Damon Jones,CLE,29,6,3,3,21.9,6.3,2,6.3,31.6,1.3,4.5,29.6,1,1.2,85.7,0.2,1.5,1.7,3.5,1.5,1,0,1.5,15.1,0,0,2.5,3596924,0.0007193848
236,Jason Williams,MIA,30,6,2,4,30,6.3,2,6,33.3,0.7,3,22.2,1.7,2.2,76.9,0.2,2.7,2.8,3.2,1.5,0.5,0.2,1.2,15,0,0,-6.2,7562500,0.0015125
236,Trenton Hassell,MIN,27,6,2,4,26.9,6.3,2.5,5.8,42.9,0,0.2,0,1.3,1.8,72.7,0.5,1.3,1.8,2.7,1.5,0.3,0.8,2,14.5,0,0,-2.7,4350000,0.00087
240,Jeff Mcinnis,NJN,31,5,3,2,25,6.2,2.6,8,32.5,0,0.4,0,1,1.2,83.3,0.4,1.4,1.8,4,0.6,0.4,0,2.4,15,0,0,-0.8,3400000,0.00068
240,Lou Williams,PHI,19,5,2,3,17.3,6.2,2.2,6.8,32.4,0.4,1.6,25,1.4,2.4,58.3,0.6,1.6,2.2,1.6,0.8,1,0,1.8,13.4,0,0,-4.2,450000,9.00E-05
240,Vladimir Radmanovic,LAC,25,5,2,3,21.4,6.2,1.6,5.8,27.6,0.8,3,26.7,2.2,2.2,100,1,3.4,4.4,0.6,1.2,0.6,0.8,1.2,15.4,0,0,-1.8,3166154,0.0006332308
243,Jamaal Tinsley,IND,28,7,4,3,18.8,6.1,2.6,5.6,46.2,0,0.4,0,1,1.9,53.8,1,1.7,2.7,2.6,2.6,1.1,0.1,1.1,14.5,0,0,0,5400000,0.00108
244,Chris Duhon,CHI,23,5,3,2,22.2,6,1.8,5.2,34.6,1.2,2.8,42.9,1.2,1.6,75,0,2.4,2.4,4.2,1.8,1,0,2.8,16.4,0,0,1,2800000,0.00056
244,Delonte West,BOS,22,7,2,5,21.8,6,2.1,6.1,34.9,0.6,1.9,30.8,1.1,1.3,88.9,0.7,2.4,3.1,2,1.9,1.3,0.7,2.9,16.9,0,0,0.9,1010040,0.000202008
244,Gordan Giricek,UTA,29,5,1,4,14.5,6,2.2,5,44,0.6,1.2,50,1,1.2,83.3,0.2,1.6,1.8,0.2,1,0.2,0,0.6,8.1,0,0,-0.8,4000000,0.0008
244,Jason Kidd,NJN,33,5,4,1,23.5,6,2,5.6,35.7,0.2,1.4,14.3,1.8,2.4,75,0.6,6,6.6,3.8,2.2,1,0.2,1,21,0,0,8.6,16440000,0.003288
244,Keith Mcleod,UTA,26,5,1,4,16.7,6,2,5.6,35.7,0.6,2,30,1.4,1.4,100,0.4,1.4,1.8,1.6,0.8,0.6,0.4,0.8,12.8,0,0,0.2,1125000,0.000225
244,Manu Ginobili,SAS,28,5,0,5,20.9,6,1.8,5.6,32.1,0.8,2.8,28.6,1.6,2.6,61.5,0.2,2.6,2.8,2.8,2.6,1.2,0.6,1.8,16.4,0,0,-2.8,7428937,0.0014857874
244,Marcus Banks,MIN,24,1,0,1,10.3,6,3,4,75,0,0,0,0,0,0,0,0,0,2,0,1,0,2,12,0,0,-2,1724280,0.000344856
244,Pat Garrity,ORL,29,5,4,1,21.8,6,2.4,5.4,44.4,0.4,1.6,25,0.8,0.8,100,1,2.4,3.4,0.2,1,0.2,0,2.8,10,0,0,2.6,3231250,0.00064625
244,Terence Morris,ORL,27,5,3,2,18.2,6,2.6,5.6,46.4,0,0.4,0,0.8,1.4,57.1,0.4,3.6,4,1,1.4,0.4,0.6,1.6,13.9,0,0,0.2,745248,0.0001490496
253,Clifford Robinson,NJN,39,7,5,2,20.9,5.9,2,6,33.3,0.3,0.9,33.3,1.6,2.4,64.7,1.1,3.6,4.7,1,1.1,0.6,0.4,3,14.9,0,0,0.3,2500000,0.0005
