Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
37,Chris Paul,LAC,28,70,50,20,33.4,16.9,5.9,12.2,48.1,1.1,3.3,32.8,4.1,4.6,88.5,0.8,3,3.7,9.7,2.3,2.4,0.1,2,41.4,31,0,6.2,18668431,0.008027361111
38,Ty Lawson,DEN,25,73,49,24,34.4,16.7,6.1,13.3,46.1,1.2,3.2,36.6,3.2,4.3,75.6,0.5,2.2,2.7,6.9,2.5,1.5,0.1,1.8,32.4,9,0,3.9,2544529,0.001094138717
39,Chris Bosh,MIA,29,74,58,16,33.2,16.6,6.6,12.3,53.5,0.3,1,28.4,3.3,4.1,79.8,1.8,5,6.8,1.7,1.7,0.9,1.4,2.3,32.3,15,0,6.4,19067500,0.008198959408
40,Klay Thompson,GSW,23,82,47,35,35.8,16.6,6.2,14.7,42.2,2.6,6.4,40.1,1.6,1.9,84.1,0.4,3.3,3.7,2.2,1.9,1,0.5,2.9,27.3,0,0,1.3,2222160,0.0009555211558
41,Arron Afflalo,ORL,27,64,18,46,36,16.5,6.2,14.1,43.9,1.1,3.8,30,3,3.5,85.7,0.5,3.3,3.7,3.2,2.2,0.6,0.2,2.1,26.1,0,0,-5,7750000,0.00333247334
42,Jamal Crawford,LAC,33,76,51,25,29.3,16.5,5.9,13.4,43.8,2,5.2,37.6,2.8,3.3,87.1,0.3,1.4,1.7,2.5,1.9,1,0.2,0.9,24.1,0,0,4.8,5225000,0.002246732026
43,Luol Deng,CHI,28,75,42,33,38.7,16.5,6.2,14.6,42.6,1,3.1,32.2,3.1,3.8,81.6,2.2,4.2,6.3,3,1.9,1.1,0.4,1.4,31.1,9,0,0,14275000,0.006138200894
44,Nikola Pekovic,MIN,27,62,26,36,31.6,16.3,6.2,12,52,0,0,0,3.9,5.2,74.4,3.7,5.1,8.8,0.9,1.6,0.7,0.8,2.3,31,26,0,-0.3,4837200,0.00207997936
45,Joe Johnson,BKN,32,72,43,29,36.7,16.3,6.2,14.6,42.3,2.1,5.5,37.5,1.8,2.2,82,0.7,2.3,3,3.5,1.7,0.7,0.2,1.4,26.1,0,0,4,19752645,0.008493569401
46,Carlos Boozer,CHI,31,79,43,36,32.2,16.2,6.9,14.4,47.7,0,0,0,2.4,3.3,73.1,2.2,7.5,9.8,2.3,2.2,0.8,0.4,3,32.7,44,0,-0.9,15300000,0.006578947368
47,Danilo Gallinari,DEN,24,71,50,21,32.5,16.2,5.1,12.3,41.8,1.9,5.1,37.3,4,4.9,82.2,0.9,4.3,5.2,2.5,1.6,0.9,0.5,1.8,28.8,2,0,4.7,9439000,0.00405873753
48,Ryan Anderson,NOH,25,81,27,54,30.9,16.2,5.8,13.8,42.3,2.6,6.9,38.2,1.9,2.2,84.4,2.4,4,6.4,1.2,1.2,0.5,0.4,2.2,27.2,11,0,-3.2,8700000,0.003740970072
49,Greg Monroe,DET,23,81,29,52,33.2,16,6.3,13.1,48.6,0,0,0,3.3,4.8,68.9,2.9,6.7,9.6,3.5,2.9,1.3,0.7,2.3,35.8,37,1,-2.8,3217680,0.001383591331
50,Gerald Henderson,CHA,25,68,15,53,31.4,15.5,5.6,12.6,44.7,0.5,1.5,33,3.8,4.6,82.4,0.8,2.9,3.7,2.6,1.6,1,0.5,2.2,26.7,2,0,-5.9,,
51,Chandler Parsons,HOU,24,76,42,34,36.3,15.5,6,12.4,48.6,2,5.2,38.5,1.5,2,72.9,1,4.3,5.3,3.5,1.9,1,0.4,1.9,29.5,8,0,2,888250,0.0003819444444
52,Zach Randolph,MEM,31,76,51,25,34.3,15.4,6.2,13.5,46,0,0.3,8.7,3,3.9,75,4.1,7.2,11.2,1.4,2,0.8,0.4,2.4,32.7,45,0,3.9,16500000,0.00709494324
53,O.J. Mayo,DAL,25,82,41,41,35.5,15.3,5.6,12.5,44.9,1.7,4.3,40.7,2.3,2.8,82,0.4,3.1,3.5,4.4,2.6,1.1,0.3,2.4,27.9,2,0,-1.3,4020000,0.001728586171
54,Tyreke Evans,SAC,23,65,20,45,31,15.2,5.6,11.8,47.8,0.7,2,33.8,3.2,4.2,77.5,0.9,3.6,4.4,3.5,2,1.4,0.4,2,29.2,1,0,-3.3,5250825,0.002257836687
