PLAYER,Season,Tier,Performance_Index
kia nurse,2023,6,50.5
han xu,2022,6,50.48
myisha hines-allen,2022,6,50.4
julie allemand,2025,6,50.32
alysha clark,2024,6,50.15
carla leite,2025,6,49.98
natisha hiedeman,2025,6,49.82
shey peddy,2021,6,49.76
lexie hull,2025,6,49.72
alysha clark,2023,6,49.72
monique billings,2021,6,49.72
jordan horston,2023,6,49.7
tiffany hayes,2024,6,49.66
aari mcdonald,2021,6,49.64
katie lou samuelson,2024,6,49.59
theresa plaisance,2021,6,49.58
leilani mitchell,2021,6,49.56
lindsay allen,2023,6,49.54
olivia nelson-ododa,2025,6,49.43
temi fágbénlé,2025,6,49.41
kia nurse,2025,6,49.41
jj quinerly,2025,6,49.22
kia nurse,2024,6,49.18
isabelle harrison,2024,6,49.17
kalani brown,2023,6,48.98
kalani brown,2023,6,48.98
kennedy burke,2025,6,48.97
ezi magbegor,2021,6,48.91
teaira mccowan,2022,6,48.9
candice dupree,2021,6,48.83
li yueru,2025,6,48.77
tianna hawkins,2021,6,48.76
megan gustafson,2023,6,48.72
tiffany mitchell,2022,6,48.55
dijonai carrington,2023,6,48.52
jordin canada,2021,6,48.51
marine johannès,2025,6,48.31
robyn parks,2023,7,48.26
kaila charles,2025,7,48.22
rachel banham,2022,7,48.16
jordan horston,2024,7,47.93
kristy wallace,2022,7,47.92
bridget carleton,2025,7,47.88
kayla thornton,2024,7,47.74
shakira austin,2022,7,47.73
epiphanny prince,2021,7,47.61
li yueru,2024,7,47.38
aziaha james,2025,7,47.28
queen egbo,2022,7,47.25
emma cannon,2023,7,47.23
veronica burton,2022,7,47.14
aaliyah edwards,2024,7,46.99
katie lou samuelson,2021,7,46.98
kylee shook,2021,7,46.98
michaela onyenwere,2025,7,46.89
elizabeth williams,2025,7,46.72
jessica breland,2021,7,46.65
monique billings,2023,7,46.62
sevgi uzun,2024,7,46.6
naz hillmon,2024,7,46.55
naz hillmon,2022,7,46.28
kitija laksa,2025,7,46.09
kaila charles,2021,7,46.08
kristy wallace,2023,7,45.99
ruthy hebard,2021,7,45.91
dijonai carrington,2022,7,45.91
emily engstler,2024,7,45.84
chiney ogwumike,2022,7,45.81
julie vanloo,2024,7,45.71
danielle robinson,2023,7,45.59
maya caldwell,2025,7,45.39
marine johannès,2023,7,45.35
lexie hull,2024,7,45.26
lindsay allen,2021,7,45.24
rebecca allen,2023,7,45.15
kate martin,2025,7,45.11
li meng,2023,7,45.05
lexie brown,2022,7,44.8
natisha hiedeman,2021,7,44.73
dana evans,2025,7,44.7
jazmine jones,2021,7,44.67
alanna smith,2025,7,44.51
lexie hull,2022,7,44.39
leonie fiebich,2024,7,44.36
lexie hull,2023,7,44.22
bridget carleton,2021,7,44.13
kathryn westbeld,2025,7,44.04
nia coffey,2023,7,44.02
tyasha harris,2021,7,43.99
nalyssa smith,2025,8,43.98
myisha hines-allen,2023,8,43.97
sami whitcomb,2024,8,43.92
rae burrell,2024,8,43.86
nikolina milić,2023,8,43.84
victoria vivians,2023,8,43.79
stephanie talbot,2021,8,43.7
crystal dangerfield,2022,8,43.7
crystal dangerfield,2022,8,43.7
crystal dangerfield,2022,8,43.7
lexi held,2025,8,43.63
rachel banham,2024,8,43.61
sydney wiese,2021,8,43.45
damiris dantas,2025,8,43.42
zia cooke,2023,8,43.3
jade melbourne,2025,8,43.21
michaela onyenwere,2022,8,43.11
naz hillmon,2023,8,43.03
dana evans,2022,8,42.8
grace berger,2023,8,42.75
jasmine walker,2022,8,42.61
crystal dangerfield,2024,8,42.59
crystal dangerfield,2024,8,42.59
crystal dangerfield,2024,8,42.59
tyasha harris,2022,8,42.54
shavonte zellous,2021,8,42.54
jasmine thomas,2023,8,42.24
briann january,2022,8,42.21
maddy siegrist,2023,8,42.13
veronica burton,2023,8,42.1
jessica shepard,2025,8,41.96
erica wheeler,2024,8,41.77
rachel banham,2023,8,41.66
kate martin,2024,8,41.59
kayla thornton,2023,8,41.57
aaliyah nye,2025,8,41.34
epiphanny prince,2022,8,40.84
destanni henderson,2022,8,40.59
nikolina milić,2022,8,40.53
lucy olsen,2025,8,40.37
natisha hiedeman,2024,8,40.2
alysha clark,2025,8,40.15
dorka juhász,2023,8,40.13
sophie cunningham,2021,8,40.1
bella alarie,2021,8,40.08
kiah stokes,2022,8,39.87
kierstan bell,2025,8,39.85
haley jones,2023,8,39.82
michaela onyenwere,2024,8,39.67
brianna turner,2022,8,39.58
jocelyn willoughby,2023,8,39.49
jade melbourne,2024,8,39.46
isabelle harrison,2025,8,39.44
veronica burton,2024,9,39.14
dominique malonga,2025,9,39.12
asia (ad) durr,2023,9,39.04
tyasha harris,2023,9,39.04
haley jones,2024,9,39.0
rebekah gardner,2025,9,38.97
courtney vandersloot,2024,9,38.93
bridget carleton,2022,9,38.93
morgan bertsch,2023,9,38.9
dana evans,2021,9,38.71
olivia nelson-ododa,2023,9,38.71
arella guirantes,2021,9,38.59
lindsay allen,2025,9,38.44
nia coffey,2024,9,38.2
rae burrell,2023,9,38.08
rae burrell,2023,9,38.08
aaliyah edwards,2025,9,38.0
sydney colson,2024,9,37.94
lauren cox,2021,9,37.92
kalani brown,2024,9,37.76
crystal bradford,2021,9,37.74
mercedes russell,2023,9,37.65
julie vanloo,2025,9,37.61
elizabeth williams,2021,9,37.61
rebecca allen,2025,9,37.43
maya caldwell,2023,9,37.3
diamond miller,2025,9,37.21
dorka juhász,2024,9,37.05
olivia nelson-ododa,2022,9,36.89
stephanie talbot,2024,9,36.64
jisu park,2021,9,36.31
emily engstler,2022,9,36.27
bridget carleton,2023,9,36.22
joyner holmes,2023,9,36.13
joyner holmes,2023,9,36.13
awak kuier,2023,9,36.1
moriah jefferson,2021,9,36.09
stefanie dolson,2025,9,36.05
queen egbo,2023,9,35.97
megan gustafson,2022,9,35.93
jade melbourne,2023,9,35.93
megan gustafson,2024,9,35.91
tiffany mitchell,2025,9,35.63
tiffany mitchell,2025,9,35.63
theresa plaisance,2022,9,35.48
nia coffey,2025,9,35.35
elizabeth williams,2022,9,35.07
sarah ashlee barker,2025,9,34.98
megan walker,2021,9,34.84
kia vaughn,2021,9,34.82
haley peters,2025,9,34.78
erica mccall,2021,9,34.77
brianna turner,2023,10,34.7
charli collier,2021,10,34.67
emily engstler,2025,10,34.61
mercedes russell,2024,10,34.57
jantel lavender,2022,10,34.43
stephanie talbot,2022,10,34.15
diamond deshields,2024,10,34.05
kia vaughn,2022,10,34.01
dijonai carrington,2021,10,33.9
kiah stokes,2021,10,33.56
kiah stokes,2021,10,33.56
kiah stokes,2024,10,33.5
rachel banham,2021,10,33.46
rachel banham,2021,10,33.46
natasha mack,2024,10,32.92
te-hina paopao,2025,10,32.82
kennedy burke,2024,10,32.78
joyner holmes,2022,10,32.73
joyner holmes,2022,10,32.73
joyner holmes,2022,10,32.73
olivia nelson-ododa,2024,10,32.64
victoria vivians,2024,10,32.52
victoria vivians,2024,10,32.52
zia cooke,2024,10,32.45
nyara sabally,2023,10,32.33
sug sutton,2024,10,32.23
stephanie talbot,2025,10,32.12
stephanie talbot,2025,10,32.12
cecilia zandalasini,2024,10,32.11
sydney colson,2023,10,31.42
natasha mack,2025,10,31.24
amanda zahui b,2023,10,31.06
maria kliundikova,2025,10,30.37
dulcy fankam mendjiadeu,2023,10,30.23
