,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
189,Jannero Pargo,NOH,28,80,54,26,18.7,8.1,3.2,8.2,39,0.8,2.3,34.9,0.9,1,87.7,0.3,1.3,1.6,2.4,1.2,0.6,0.1,1.5,14.5,0,0,0.8,1830000,0.000366
190,Antoine Walker,MIN,31,46,10,36,19.4,8,3,8.2,36.3,1.3,4.1,32.4,0.8,1.4,53,1.2,2.4,3.7,1,1,0.7,0.2,1.7,15.5,1,0,-1.8,8329640,0.001665928
190,Morris Peterson,NOH,30,76,52,24,23.6,8,2.8,6.8,41.7,1.5,3.8,39.4,0.9,1.1,76.5,0.5,2.2,2.7,0.9,0.5,0.6,0.1,1.6,14.2,0,0,2.8,5000000,0.001
192,James Jones,POR,27,58,33,25,22,8,2.5,5.6,43.7,1.6,3.5,44.4,1.5,1.7,87.8,0.7,2,2.8,0.6,0.5,0.4,0.3,1.7,13.7,0,0,0.7,2900000,0.00058
193,Leon Powe,BOS,24,56,46,10,14.5,7.9,2.8,4.8,57.2,0,0,0,2.4,3.4,71,1.7,2.4,4.1,0.3,0.8,0.3,0.3,2.3,14.1,5,0,1.8,687456,0.0001374912
194,Jason Maxiell,DET,25,82,59,23,21.6,7.9,2.9,5.4,53.8,0,0,0,2.1,3.3,63.3,2.2,3.1,5.3,0.6,0.9,0.3,1.1,2.2,18.5,4,0,2.5,1041360,0.000208272
195,Dorell Wright,MIA,22,44,7,37,25.1,7.9,3.3,6.7,48.8,0.1,0.3,36.4,1.3,1.6,82.6,1.1,3.9,5,1.4,0.7,0.7,0.9,1.8,20,4,0,-3.5,2040746,0.0004081492
196,Nazr Mohammed,CHA,30,82,39,43,20.1,7.8,3.3,6.4,51.5,0,0,0,1.2,2,58.3,2.4,3.7,6,0.9,1.2,0.5,0.7,2.8,18.9,11,0,-2.6,5632200,0.00112644
197,Anthony Carter,DEN,33,70,42,28,28,7.8,3.1,6.8,45.8,0.6,1.8,34.9,0.9,1.2,75.3,0.4,2.5,2.9,5.5,1.8,1.5,0.4,2.5,23.5,4,0,0,770610,0.000154122
198,Rasho Nesterovic,TOR,32,71,35,36,20.9,7.8,3.6,6.6,55,0,0,33.3,0.5,0.7,75.5,1.8,3,4.8,1.2,0.8,0.3,0.7,1.9,17.5,5,0,0.8,7840000,0.001568
199,Chris Quinn,MIA,24,60,11,49,22.3,7.8,2.6,6.2,42.4,1.1,2.7,40.3,1.4,1.6,86.7,0.2,1.8,2,3,0.9,0.8,0.1,1.5,16.1,0,0,-2.7,687456,0.0001374912
200,Bobby Jackson,HOU,35,72,52,20,19.3,7.7,2.8,7,40.3,1.1,3.1,35.8,0.9,1.1,79,0.5,2.1,2.5,1.9,0.8,0.6,0.1,1.3,14.9,0,0,2.1,5670000,0.001134
201,Rodney Stuckey,DET,22,57,41,16,19,7.6,2.7,6.7,40.1,0.1,0.3,18.8,2.2,2.7,81.4,0.6,1.7,2.3,2.8,1.4,0.9,0.1,2,16.1,0,0,1,1569600,0.00031392
202,Kasib Powell,MIA,27,11,3,8,27.7,7.6,3.2,8.6,36.8,0.7,3,24.2,0.5,0.8,66.7,0.7,3.3,4,1.6,0.5,0.8,0.2,1.6,17.4,0,0,-6.5,36395,7.28E-06
203,Luther Head,HOU,25,73,46,27,18.9,7.6,2.8,6.5,43.2,1.1,3.1,35.1,0.9,1.1,81.5,0.2,1.6,1.8,1.9,1,0.6,0.1,1,13.9,0,0,1.8,1122000,0.0002244
204,Fred Jones,NYK,29,70,18,52,25.1,7.6,2.6,6.2,42.1,1.1,2.7,38.5,1.3,1.8,74.6,0.4,2,2.4,2.4,1.1,0.7,0.3,2,15.8,0,0,-3.7,3300000,0.00066
205,Bobby Simmons,MIL,28,70,24,46,21.7,7.6,3,7.1,42.1,0.9,2.4,35.1,0.8,1,75.7,1,2.3,3.2,1.1,1.1,0.7,0.1,2,14.4,0,0,-3.1,9280000,0.001856
206,Charlie Bell,MIL,29,68,24,44,23.9,7.6,2.7,7.1,38.1,1.1,3.2,34.1,1,1.3,80.5,0.5,2,2.5,3.1,1.1,0.8,0,1.8,16.4,0,0,-3.7,3106000,0.0006212
207,Andray Blatche,WAS,21,82,43,39,20.4,7.5,3.1,6.5,47.4,0,0.2,23.1,1.3,1.9,69.5,2,3.2,5.2,1.1,1.4,0.6,1.4,3.1,20.2,9,0,-2.9,2479339,0.0004958678
208,Devin Brown,CLE,29,78,44,34,22.6,7.5,2.8,6.8,40.9,0.6,1.9,30.8,1.4,1.8,75.4,0.8,2.5,3.4,2.2,1.3,0.7,0.1,1.8,15.9,2,0,-0.6,1200000,0.00024
209,Eddie House,BOS,30,78,62,16,19,7.5,2.8,6.8,40.9,1.5,3.8,39.3,0.4,0.5,91.7,0.2,1.9,2.1,1.9,1,0.8,0.1,1.5,14.7,0,0,3.6,1500000,0.0003
210,Nick Young,WAS,23,75,36,39,15.4,7.5,2.8,6.4,43.9,0.5,1.3,40,1.3,1.7,81.5,0.3,1.2,1.5,0.8,1.3,0.5,0.1,1.7,11,0,0,-2.4,1491240,0.000298248
211,Sasha Pavlovic,CLE,24,51,28,23,23.3,7.4,2.9,7.9,36.2,0.7,2.2,29.8,1,1.5,68.8,0.7,1.8,2.5,1.6,1.1,0.6,0.1,2.3,13.8,0,0,-1.1,4250000,0.00085
212,James Posey,BOS,31,74,60,14,24.6,7.4,2.3,5.6,41.8,1.4,3.8,38,1.3,1.6,80.9,0.4,3.9,4.4,1.5,0.9,1,0.3,2.5,17.7,1,0,2.6,3206000,0.0006412
213,Wilson Chandler,NYK,21,35,8,27,19.6,7.3,3,6.9,43.8,0.3,0.9,30,1,1.5,63,1.1,2.5,3.6,0.9,0.8,0.4,0.5,2.4,14.9,1,0,-2.7,1091640,0.000218328
214,Kirk Snyder,MIN,25,36,14,22,21.1,7.3,2.7,5.3,50.8,0.1,0.6,21.7,1.8,2.4,72.7,0.8,2.7,3.5,1.8,1.4,0.6,0.4,1.5,15.6,1,0,-1.3,2358433,0.0004716866
215,Luke Walton,LAL,28,74,51,23,23.4,7.2,2.9,6.5,45,0.4,1.1,33.3,1,1.5,70.6,1.1,2.8,3.9,2.9,1.4,0.8,0.2,1.8,18.2,0,0,3,4000000,0.0008
216,Darko Milicic,MEM,23,70,19,51,23.8,7.2,3.1,7.1,43.8,0,0,0,1,1.7,55.4,1.8,4.2,6.1,0.8,1.4,0.5,1.6,2.6,20.5,11,0,-4.2,6500000,0.0013
217,Jason Kapono,TOR,27,81,40,41,18.9,7.2,3,6.1,48.8,0.7,1.5,48.3,0.5,0.5,86,0.4,1.1,1.5,0.8,0.7,0.4,0,1.6,10.8,0,0,0.2,5356000,0.0010712
218,Mickael Pietrus,GSW,26,66,40,26,19.9,7.2,2.6,5.9,43.9,1,2.8,36.1,1,1.5,67.3,1,2.7,3.7,0.7,0.7,1,0.7,3,16.9,3,0,0.3,3470771,0.0006941542
219,Brent Barry,SAS,36,31,22,9,17.9,7.1,2.5,5.2,48.1,1.5,3.6,42.9,0.6,0.6,95,0.4,1.4,1.8,1.7,0.6,0.5,0.1,1.4,13.2,0,0,2,172177,3.44E-05
220,Earl Barron,MIA,26,46,8,38,19.3,7.1,2.9,7.1,40.4,0,0.3,7.7,1.3,1.9,70.1,1.5,2.8,4.3,0.6,1,0.4,0.2,2.5,13.9,0,0,-4.6,973328,0.0001946656
221,Kendrick Perkins,BOS,23,78,62,16,24.5,6.9,2.7,4.5,61.5,0,0,0,1.5,2.3,62.3,1.9,4.2,6.1,1.1,1.6,0.4,1.5,3.1,19.8,5,0,6.4,4480912,0.0008961824
222,Carlos Arroyo,ORL,28,62,40,22,20.5,6.9,2.5,5.6,45.1,0.5,1.4,34.5,1.4,1.6,85.3,0.2,1.7,1.8,3.5,1.2,0.4,0,1.4,14.5,0,0,2.2,4000000,0.0008
