Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,Salary,Player_Comp_Share
409,Josh Hall,OKC,20,21,2,19,16,4.1,1.4,4.7,30.3,0.2,1.8,10.8,1,2.1,50,0.3,2.5,2.8,1.3,1.2,0.2,0,1.8,9,1,0,-4.8,,
410,Obi Toppin,NYK,23,62,36,26,11,4.1,1.7,3.4,49.8,0.4,1.4,30.6,0.3,0.4,73.1,0.4,1.8,2.2,0.5,0.4,0.3,0.2,0.9,8.6,0,0,0.4,4862040,0.001517017161
411,Darius Miller,OKC,31,18,5,13,10.9,4.1,1.2,2.7,45.8,0.9,2.3,40.5,0.7,0.7,100,0.1,1.2,1.3,1.2,0.4,0.7,0.3,0.7,10,0,0,2.1,7000000,0.002184087363
412,Chris Chiozza,BKN,25,22,12,10,10.6,4,1.4,4,35.2,0.6,1.9,31,0.6,0.8,76.5,0.1,1,1.1,3,0.7,0.3,0.3,0.9,10.8,1,0,0.9,,
412,Jordan Bone,ORL,23,14,2,12,14,4,1.6,3.9,42.6,0.7,2.3,31.3,0,0,0,0.3,1.4,1.7,1.3,0.2,0.1,0,0.8,8.2,0,0,-4.2,,
412,Udonis Haslem,MIA,41,1,1,0,2.7,4,2,2,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.2,0,0,3,1620564,0.0005056361934
415,Cody Martin,CHA,25,52,26,26,16.3,4,1.6,3.6,44.1,0.3,1.1,27.6,0.5,0.8,58.1,1,2.1,3.1,1.7,0.8,0.7,0.2,1,12.2,1,0,-0.1,1517981,0.0004736290172
416,Carsen Edwards,BOS,23,31,14,17,8.9,4,1.5,3.6,42.3,0.6,2,28.6,0.4,0.4,84.6,0.1,0.7,0.8,0.5,0.2,0.2,0,0.8,6.2,0,0,-0.8,1517981,0.0004736290172
417,Matisse Thybulle,PHI,24,65,46,19,20,3.9,1.6,3.7,42,0.7,2.2,30.1,0.1,0.3,44.4,0.5,1.4,1.9,1,0.5,1.6,1.1,2,15.3,0,0,1.5,2711280,0.0008459531981
418,Brodric Thomas,CLE,24,32,6,26,12.5,3.9,1.2,3.4,36.1,0.5,1.8,27.1,1,1.4,67.4,0.3,1.4,1.7,0.9,0.7,0.5,0.3,1.3,9,0,0,-1.5,,
419,Kevin Knox II,NYK,21,42,26,16,11.1,3.9,1.3,3.4,39.2,0.8,2.1,39.3,0.4,0.5,80,0.2,1.2,1.5,0.5,0.4,0.3,0.1,0.9,7.2,0,0,-0.8,4588680,0.001431725429
420,Justin James,SAC,24,36,15,21,8.6,3.9,1.4,3.1,46.8,0.4,1.1,36.8,0.6,1,58.3,0.3,0.6,0.8,0.6,0.4,0.2,0.1,0.6,6.3,0,0,-1.6,1517981,0.0004736290172
421,Danté Exum,HOU,25,6,3,3,19.4,3.8,1.7,4.3,38.5,0.3,1.8,18.2,0.2,0.3,50,0.3,2.5,2.8,2.2,1.2,0.7,0.3,1.5,12.3,0,0,1,,
422,Ersan Ilyasova,UTA,34,17,14,3,8.7,3.8,1.2,3.2,38.9,1.1,2.4,43.9,0.3,0.3,100,0.4,1.3,1.7,0.2,0.5,0.6,0.2,1.7,8,0,0,0.9,754783,0.0002355017161
423,Tremont Waters,BOS,23,26,13,13,9.1,3.8,1.3,3.2,40.5,0.6,1.5,39.5,0.6,0.7,94.1,0.2,0.6,0.8,2.4,1,0.6,0,0.7,9.2,0,0,-0.4,,
424,Nathan Knight,ATL,23,33,21,12,8.4,3.8,1.1,3,37,0.2,1,18.2,1.3,1.7,80,0.8,1.4,2.2,0.2,0.5,0.3,0.3,0.7,8,1,0,-0.5,,
424,Skylar Mays,ATL,23,33,19,14,8.2,3.8,1.3,3,44.9,0.4,1.2,35,0.7,0.8,88,0.3,0.8,1.1,0.9,0.3,0.4,0.1,0.5,7.6,0,0,0.4,,
426,Thon Maker,CLE,24,8,3,5,9.6,3.8,1.3,2.3,55.6,0,0.3,0,1.3,1.4,90.9,1,1.3,2.3,0.5,0.4,0.3,0.5,0.9,9.1,0,0,-2.3,1620564,0.0005056361934
427,Isaiah Joe,PHI,21,41,22,19,9.3,3.7,1.2,3.2,36.1,1,2.6,36.8,0.4,0.6,75,0.1,0.7,0.9,0.5,0.3,0.3,0.1,0.8,6.4,0,0,0,898310,0.0002802839314
428,P.J. Tucker,MIL,36,52,27,25,26.1,3.7,1.3,3.4,37.3,0.8,2.3,33.6,0.4,0.5,75,1,2.9,3.9,1.2,0.8,0.8,0.4,2.4,12.8,0,0,-3.4,7969537,0.002486595008
429,Luka Samanic,SAS,21,33,14,19,9.3,3.7,1.4,3.2,44.8,0.4,1.3,27.9,0.5,0.9,55.2,0.5,1.6,2.1,0.5,0.6,0.2,0.2,1.3,7.7,0,0,-0.6,2892000,0.0009023400936
430,Javonte Green,CHI,27,41,19,22,11.6,3.6,1.3,2.5,52,0.2,0.7,33.3,0.7,1,75,0.6,1.1,1.7,0.4,0.5,0.7,0.1,1.1,8.3,0,0,0.4,1517981,0.0004736290172
431,Wenyen Gabriel,NOP,24,21,9,12,11.5,3.4,1.1,2.9,40,0.6,1.5,40.6,0.5,0.8,64.7,1,1.6,2.6,0.5,0.7,0.4,0.4,1.5,9,0,0,0.1,1620564,0.0005056361934
432,Luke Kornet,BOS,25,31,13,18,11.2,3.4,1.4,3.3,43.6,0.5,1.9,25.4,0.1,0.2,50,0.5,1.7,2.2,0.8,0.2,0.1,1,0.6,10.4,0,0,1.7,2250000,0.0007020280811
433,Paul Reed,PHI,22,26,17,9,6.8,3.4,1.6,3,53.8,0,0.2,0,0.2,0.3,50,1.2,1.2,2.3,0.5,0.5,0.4,0.5,1.1,9.1,1,0,1.4,609128,0.0001900555382
434,Meyers Leonard,MIA,29,3,2,1,9.8,3.3,1,2.3,42.9,1,2.3,42.9,0.3,0.7,50,0,2.3,2.3,0.7,0.7,0,0,1.7,6.5,0,0,-1.3,9400000,0.002932917317
435,Quinn Cook,CLE,28,23,13,10,6.8,3.3,1.3,3,42.6,0.5,1.1,42.3,0.3,0.3,87.5,0.1,0.7,0.7,0.8,0.3,0.2,0,0.4,5.7,0,0,-0.4,1620564,0.0005056361934
436,Zeke Nnaji,DEN,20,42,30,12,9.5,3.2,1.2,2.5,48.1,0.6,1.4,40.7,0.3,0.4,80,0.3,1.2,1.5,0.2,0.2,0.2,0.1,0.7,6.1,0,0,-2,2284800,0.0007128861154
437,Amir Coffey,LAC,24,44,32,12,9,3.2,1,2.3,43.7,0.5,1.3,41.1,0.6,0.9,71.1,0.2,0.8,1,0.5,0.3,0.2,0,0.7,5.5,0,0,-0.6,,
438,Killian Tillie,MEM,23,18,11,7,10.1,3.2,1.1,3.2,33.3,0.6,1.8,30.3,0.5,0.6,81.8,0.3,1,1.3,0.4,0.1,0.3,0.4,1.1,7.5,0,0,2.2,,
439,Mamadi Diakite,MIL,24,14,7,7,10.1,3.1,1.1,2.9,40,0.1,0.6,12.5,0.8,1,78.6,0.6,1.9,2.4,0.6,0.2,0.4,0.4,1.1,9.1,0,0,0.6,160173,5.00E-05
440,Alfonzo McKinnie,LAL,28,39,22,17,6.6,3.1,1.2,2.4,51.6,0.4,1,41,0.3,0.5,55.6,0.6,0.8,1.4,0.2,0.1,0.2,0,0.7,5.4,0,0,0.2,1762796,0.0005500143526
441,Romeo Langford,BOS,21,18,9,9,15.7,3.1,1.2,3.3,35.6,0.3,1,27.8,0.5,0.7,75,0.7,1.3,1.9,0.7,0.6,0.3,0.3,1.3,7.8,0,0,-3.7,3631200,0.001132979719
442,Ryan Arcidiacono,CHI,27,44,20,24,10.2,3.1,1.1,2.7,41.9,0.6,1.5,37.3,0.3,0.5,65,0.1,1.4,1.5,1.3,0.2,0.2,0,1.1,7.2,0,0,0.2,3000000,0.0009360374415
443,Matt Thomas,UTA,26,45,27,18,7.3,3.1,1.1,2.8,39.4,0.6,1.8,33.8,0.3,0.3,85.7,0.2,0.8,1,0.4,0.3,0.1,0,0.4,4.9,0,0,-1.5,1517981,0.0004736290172
444,Anthony Gill,WAS,28,26,11,15,8.4,3.1,1.2,2.3,50,0.3,0.9,29.2,0.5,0.6,81.3,0.6,1.3,2,0.4,0.3,0.4,0.2,1,7.4,0,0,-0.7,898310,0.0002802839314
444,Jahmi'us Ramsey,SAC,20,13,5,8,7.3,3.1,1.2,2.9,39.5,0.4,1.5,26.3,0.4,0.4,100,0.2,0.6,0.8,0.5,0.2,0.3,0.1,0.6,5.6,0,0,0.2,1000000,0.0003120124805
446,Gary Clark,PHI,26,39,12,27,16.8,3.1,1,3.4,30.3,0.8,2.8,28.7,0.2,0.3,80,0.8,2.1,2.9,0.8,0.4,0.3,0.2,0.9,8.9,0,0,-2.8,2000000,0.000624024961
447,Cam Reynolds,HOU,26,5,3,2,8.1,3,1.2,3.6,33.3,0.6,2.4,25,0,0,0,0.4,0.6,1,0.4,0,0,0,0.4,4.8,0,0,-5.2,,
447,Reggie Perry,BKN,21,26,18,8,8.1,3,1.2,3,41,0.2,0.8,19,0.4,0.5,76.9,1,1.8,2.8,0.5,0.6,0.2,0.2,1.5,8,1,0,-1.4,,
449,Nicolo Melli,DAL,30,45,26,19,12.6,3,1,3.1,32.6,0.5,1.9,27.1,0.4,0.6,76,0.6,2.1,2.7,1,0.3,0.3,0.1,1.3,8.6,0,0,0.5,4102564,0.00128005117
450,Sam Merrill,MIL,25,30,18,12,7.8,3,1.1,2.4,44.4,0.7,1.6,44.7,0.1,0.1,100,0.2,0.8,1,0.7,0.3,0.3,0,0.6,5.8,0,0,-1.3,898310,0.0002802839314
451,Trent Forrest,UTA,23,30,22,8,10.1,2.9,1.1,2.4,45.1,0.2,0.9,19.2,0.6,0.6,100,0.4,1.1,1.5,1.5,0.7,0.3,0.1,0.7,7.5,0,0,-1.6,,
452,Thanasis Antetokounmpo,MIL,28,57,37,20,9.7,2.9,1.2,2.4,48.9,0.1,0.5,24.1,0.4,0.9,51,0.9,1.2,2.2,0.8,0.8,0.4,0.2,1.3,7.7,1,0,-0.2,1701593,0.0005309182527
