,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
127,Rod Strickland,MIA,35,76,35,41,30.1,10.4,4.2,9.4,44.3,0.1,0.3,30.8,2,2.6,76.6,0.6,2.4,3.1,6.1,2.1,1.1,0.1,1.5,24.8,4,0,1.2,591000,0.0004039644566
128,Chris Whitney,WAS,30,82,37,45,26.5,10.2,3.3,8,41.8,1.6,3.9,40.6,1.9,2.1,88,0.1,1.7,1.9,3.8,1,0.9,0.1,2.2,19.9,1,0,-0.5,2666000,0.00182228298
129,Hedo Turkoglu,SAC,23,80,60,20,24.6,10.1,3.6,8.6,42.2,0.8,2.1,36.8,2.1,2.9,72.6,0.8,3.8,4.5,2,1,0.7,0.4,2.3,20.9,2,0,5.1,1216000,0.0008311688312
130,Bob Sura,GSW,29,78,20,58,22.9,10,3.2,7.6,42.4,0.5,1.7,31.6,3,4.2,72,1.1,2.1,3.3,3.5,1.7,1.1,0.2,2.1,21.5,1,0,-2.1,4913000,0.003358168148
131,Toni Kukoc,ATL,33,59,26,33,25.3,9.9,3.6,8.5,41.9,0.9,2.9,31,1.8,2.6,71.2,0.7,3,3.7,3.5,1.9,0.8,0.3,1.5,21,2,0,-0.3,8050000,0.005502392344
132,Courtney Alexander,WAS,25,56,23,33,23.6,9.8,4,8.5,47,0.1,0.3,27.8,1.8,2.2,81,0.8,1.9,2.6,1.5,1.1,0.6,0.1,2,16.5,0,0,-3,1418000,0.000969241285
133,Todd MacCulloch,NJN,26,62,42,20,24.2,9.7,4,7.5,53.1,0,0,0,1.8,2.6,67.1,2.5,3.6,6.1,1.3,1.1,0.4,1.4,2.9,23.3,8,0,3,550000,0.0003759398496
134,Nazr Mohammed,ATL,24,82,33,49,26.5,9.7,4,8.7,46.1,0,0,0,1.7,2.7,61.7,3,5,7.9,0.4,1.4,0.8,0.7,3.1,22.9,21,0,-3.7,4500000,0.003075871497
135,Bryon Russell,UTA,31,66,36,30,30.3,9.6,3.4,8.8,38,1.2,3.4,34.1,1.7,2.1,82.1,1.2,3.3,4.5,2.1,1.7,1,0.3,3.1,20.2,0,0,2.6,5142000,0.00351469583
136,Kenny Anderson,BOS,31,76,44,32,31.9,9.6,4.1,9.4,43.6,0.1,0.4,27.3,1.3,1.7,74.2,0.8,2.9,3.6,5.3,1.6,1.9,0.1,2.8,26.3,2,0,3.3,8350000,0.005707450444
137,Anthony Mason,MIL,35,82,41,41,38.3,9.6,3.9,7.6,50.5,0,0,100,1.9,2.7,69.7,1.5,6.4,7.9,4.2,1.6,0.7,0.3,2.3,26.7,10,0,0.2,4538000,0.003101845523
138,Tim Hardaway,DEN,35,68,41,27,23.5,9.6,3.3,9.1,36.5,1.8,5.2,34.7,1.1,1.4,79.4,0.2,1.6,1.8,4.1,1.6,0.8,0.1,1.6,19.2,0,0,-0.3,3360000,0.002296650718
139,Dale Davis,POR,33,78,46,32,31.4,9.5,3.8,7.4,51,0,0,0,1.9,2.7,70.8,3.4,5.5,8.8,1.2,0.8,0.8,1.1,2.5,26.7,23,0,3,7010000,0.004791524265
140,Tony Delk,BOS,28,63,32,31,23,9.5,3.6,9.3,38.4,1.1,3.4,31.3,1.2,1.5,80.4,0.9,2.3,3.2,2.1,0.9,0.8,0.2,1.6,18.5,1,0,1.8,2475000,0.001691729323
141,Darius Miles,LAC,20,82,39,43,27.1,9.5,3.8,7.8,48,0,0.2,15.8,1.9,3.1,62,1.3,4.2,5.5,2.2,2,0.9,1.3,2.2,23.9,4,0,0.1,3054000,0.002087491456
142,Malik Rose,SAS,27,82,58,24,21.1,9.4,3.6,7.7,46.3,0,0.1,8.3,2.3,3.1,72,2.1,3.9,6,0.7,1.7,0.9,0.5,2.5,20.1,5,0,2.8,2285000,0.001561859193
143,Richard Jefferson,NJN,22,79,51,28,24.3,9.4,3.4,7.5,45.7,0.2,0.7,23.2,2.4,3.4,71.3,1.1,2.6,3.7,1.8,1.4,0.8,0.6,2.7,19.4,0,0,1.3,1379000,0.0009425837321
144,Jamaal Tinsley,IND,24,80,41,39,30.5,9.4,3.6,9.5,38,0.5,2.2,24,1.6,2.3,70.4,1,2.8,3.7,8.1,3.4,1.7,0.5,3.1,29.3,17,2,0.5,749000,0.0005119617225
145,Rodney Buford,MEM,24,63,21,42,28.1,9.4,4.1,9.4,43.5,0.3,1.1,24.3,0.9,1.3,72.5,0.8,3.5,4.3,1.1,1,0.7,0.2,1.7,17.8,0,0,-5.3,540000,0.0003691045796
146,Walt Williams,HOU,32,48,16,32,23.3,9.4,3.5,8.3,41.9,1.6,3.8,42.6,0.8,1.1,78.4,0.8,2.6,3.4,1.4,1.1,0.4,0.2,2.2,16.2,0,0,-1.4,5000000,0.003417634997
147,Brian Grant,MIA,30,72,35,37,31.3,9.3,4,8.5,46.9,0,0,0,1.4,1.7,84.9,2.3,5.7,8,1.9,1.7,0.7,0.4,3.3,23.4,17,0,-1,10009000,0.006841421736
