Unnamed: 0,PLAYER,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Salary,Player_Comp_Share
120,Pat Connaughton,MIL,31,6,2,4,20.7,4.5,1.8,4.2,44,0.5,1.8,27.3,0.3,0.3,100,0.5,3.3,3.8,2.2,0.5,1,0.2,1,15.4,0,0,0,9423869,0.001667941416
121,Jaylin Williams,OKC,22,10,6,4,12.7,4.4,1.6,3.3,48.5,0.9,2.2,40.9,0.3,0.4,75,0.4,2.8,3.2,1.5,0.3,0.4,0.3,1.1,12.3,0,0,-2.9,2000000,0.0003539823009
122,Tim Hardaway Jr.,DAL,32,14,8,6,12.7,4.4,1.6,4.1,37.9,0.9,2.6,35.1,0.3,0.6,50,0.1,1.6,1.8,0.4,0.1,0.4,0.1,0.7,8.2,0,0,-2.5,17897728,0.003167739469
123,Kyle Anderson,MIN,30,15,8,7,15.4,4.3,1.7,3.8,45.6,0.1,0.5,25,0.7,0.8,83.3,1.2,1.5,2.7,2.5,0.7,0.7,0.3,1.7,13.6,0,0,-2.4,9219512,0.001631772035
124,Jaden Hardy,DAL,21,19,11,8,6.8,4.2,1.5,3.6,42.6,0.6,1.4,40.7,0.6,0.8,73.3,0.1,0.7,0.8,0.9,0.4,0.2,0,0.7,6.6,0,0,-1.2,1719864,0.000304400708
125,Cason Wallace,OKC,20,10,6,4,19.8,4.2,1.6,4.1,39,0.9,2.8,32.1,0.1,0.2,50,0.7,0.6,1.3,1,0.4,0.9,0.2,1.4,10.2,0,0,3.2,5291000,0.000936460177
126,Gary Harris,ORL,29,6,2,4,26.5,4.2,1.3,4.7,28.6,1.2,3.7,31.8,0.3,0.3,100,0.8,1.2,2,0.7,0.3,1.2,0.5,3,12.2,0,0,0.3,13000000,0.002300884956
127,Luka Garza,MIN,25,7,5,2,3.7,4.1,1.4,1.7,83.3,0.3,0.4,66.7,1,1.1,87.5,0.3,0.6,0.9,0.1,0,0,0,0,5.4,0,0,3.3,,
128,Isaiah Jackson,IND,22,15,6,9,10.2,3.8,1.5,2.9,53.5,0,0,0,0.7,1.2,61.1,1.4,1.8,3.2,0.5,0.3,0.2,0.9,1.6,11.3,0,0,-0.7,2696280,0.0004772176991
129,Maxi Kleber,DAL,32,13,6,7,16.8,3.7,1.2,3,41,0.9,2.2,42.9,0.3,0.5,66.7,0.3,1.6,1.9,1,0.4,0.2,0.3,1.5,8.7,0,0,1,11000000,0.001946902655
130,Bones Hyland,LAC,23,3,0,3,4,3.7,1,2.3,42.9,0.3,1.7,20,1.3,1.3,100,0,0.7,0.7,1.3,0.3,0,0,0,6.1,0,0,0.7,2306400,0.0004082123894
130,Danilo Gallinari,MIL,35,3,1,2,12.4,3.7,1.3,2.7,50,0,0.7,0,1,1.3,75,0.3,2.7,3,0.7,0.3,0,0,0,7.9,0,0,-2,661628,0.0001171023009
130,Dean Wade,CLE,27,3,0,3,21,3.7,1.3,4.3,30.8,1,3.3,30,0,0,0,0.3,1.7,2,1.7,0.7,0.3,0.7,1.3,10.9,0,0,-4.3,5709877,0.001010597699
133,Grayson Allen,PHX,28,2,0,2,21.3,3.5,0.5,2.5,20,0.5,2.5,20,2,2,100,1,3,4,1,1.5,0.5,0,2,9.8,0,0,-1.5,8925000,0.001579646018
133,Josh Okogie,PHX,25,4,0,4,7.3,3.5,1.3,2.3,55.6,0.3,0.8,33.3,0.8,1.5,50,0,1,1,0.5,0.5,0.5,0,1.8,6.5,0,0,1.3,2815937,0.0004983959292
133,Reggie Jackson,DEN,34,12,7,5,9.8,3.5,1.3,4,33.3,0.7,1.9,34.8,0.2,0.2,100,0.2,1.1,1.3,1,0.7,0.2,0.1,1,6.6,0,0,0.2,5000000,0.0008849557522
136,Sam Merrill,CLE,28,10,4,6,12.5,3.3,1,2.9,34.5,1,2.7,37,0.3,0.3,100,0.2,1,1.2,0.9,0,0,0,0.9,6.1,0,0,-1.1,1997238,0.0003534934513
137,Mason Plumlee,LAC,34,6,2,4,11,3.2,1.2,3,38.9,0,0,0,0.8,1.3,62.5,1.2,2.2,3.3,0.7,0.3,0.5,0.3,2.2,10.3,0,0,-1.7,5000000,0.0008849557522
138,Anthony Black,ORL,20,2,2,0,5.4,3,1.5,3.5,42.9,0,1,0,0,0,0,0.5,0.5,1,1,0.5,0.5,0,0.5,6.7,0,0,-4,7245480,0.001282385841
138,Chuma Okeke,ORL,25,2,2,0,4.9,3,1,1.5,66.7,0.5,1,50,0.5,0.5,100,0,0,0,0.5,0,0,0,0,3.8,0,0,-4,5266713,0.0009321615929
138,Daniel Theis,LAC,32,1,0,1,4.4,3,1,1,100,1,1,100,0,0,0,0,1,1,0,0,0,0,0,4.2,0,0,2,1741126,0.0003081638938
138,Luke Kornet,BOS,28,13,11,2,10.2,3,1.1,1.6,66.7,0,0,0,0.8,1,84.6,1.5,1.7,3.2,0.5,0.5,0.1,0.4,0.8,8.5,0,0,-1.3,2413304,0.0004271334513
138,Markieff Morris,DAL,34,1,1,0,12,3,1,5,20,1,3,33.3,0,0,0,0,4,4,0,1,0,0,1,6.8,0,0,6,2019706,0.0003574700885
138,Spencer Dinwiddie,LAL,31,5,1,4,14.6,3,1,2.8,35.7,0.4,1.6,25,0.6,1.2,50,0.2,1.2,1.4,1.6,0.2,0.4,0.2,1.4,8.7,0,0,-3.8,1554654,0.00027516
144,Justin Holiday,DEN,35,12,7,5,12.5,2.9,0.9,2.9,31.4,0.9,2.4,37.9,0.2,0.3,50,0.1,1.6,1.7,0.3,0.3,0.5,0,1.3,6.7,0,0,2,2019706,0.0003574700885
145,AJ Green,MIL,24,6,2,4,11.2,2.8,1,2.7,37.5,0.3,1.8,18.2,0.5,0.5,100,0,1.5,1.5,0.3,0.2,0,0,1.5,5,0,0,-0.3,1801769,0.0003188971681
145,Amir Coffey,LAC,27,6,2,4,18.7,2.8,1.2,3.7,31.8,0.5,1.8,27.3,0,0,0,0.3,1.3,1.7,0.3,0.8,0.3,0.2,1,6,0,0,-6.2,3666667,0.0006489676106
145,Mitchell Robinson,NYK,26,6,4,2,19.1,2.8,1.2,2.3,50,0,0,0,0.5,1.3,37.5,3.8,3,6.8,0.5,0.5,1,1.2,2.5,17.8,0,0,5,15681818,0.002775543009
148,Georges Niang,CLE,31,10,4,6,12.1,2.8,0.9,4.1,22,0.3,2.3,13,0.7,0.8,87.5,0.3,0.9,1.2,0.4,0.7,0.4,0.2,1.8,5.9,0,0,-2.4,8800000,0.001557522124
149,Duncan Robinson,MIA,30,5,1,4,11.9,2.6,1,3.2,31.3,0.6,2.6,23.1,0,0,0,0,1,1,1.2,1,0.4,0,1.2,5.8,0,0,-9.2,18154000,0.003213097345
150,Jett Howard,ORL,20,2,2,0,4.9,2.5,1,1.5,66.7,0.5,0.5,100,0,0,0,0,0.5,0.5,0.5,1,0,0,0.5,2.9,0,0,-4,5026800,0.000889699115
151,Andre Jackson Jr.,MIL,22,5,1,4,11.9,2.4,1,2.2,45.5,0.4,1.2,33.3,0,0,0,1,1.2,2.2,2,0.6,1,0.2,2,11,0,0,2.2,1119563,0.0001981527434
152,Julian Strawther,DEN,22,3,1,2,5.3,2.3,0.7,2,33.3,0.3,1.3,25,0.7,1.3,50,0,0.7,0.7,0,0.3,0.3,0,1,3.8,0,0,-4,2431080,0.000430279646
152,Monté Morris,MIN,29,9,6,3,7.4,2.3,1,3.3,30,0.1,1.6,7.1,0.2,0.2,100,0.1,0.6,0.7,1,0,0.2,0.1,0.7,5.6,0,0,0.2,,
154,Jae Crowder,MIL,33,4,1,3,10.5,2.3,0.8,3,25,0.3,1.8,14.3,0.5,0.5,100,0.5,1,1.5,0.5,0,0,0.5,1,6.3,0,0,-6.3,2019760,0.000357479646
155,Danté Exum,DAL,28,21,12,9,6.8,2,0.8,2.1,36.4,0.3,1,35,0.2,0.3,66.7,0.1,0.7,0.8,0.6,0.2,0.1,0,0.4,4.2,0,0,-0.7,,
156,DaQuan Jeffries,NYK,26,4,1,3,5,2,0.8,2,37.5,0.5,1.3,40,0,0,0,0.3,0.8,1,0,0,0.3,0,0.5,4,0,0,3.3,,
156,DeAndre Jordan,DEN,35,2,1,1,6.5,2,0.5,1,50,0,0,0,1,1,100,0.5,1,1.5,0,0,0.5,0.5,2,6.8,0,0,-10,2019706,0.0003574700885
156,Jeremiah Robinson-Earl,NOP,23,1,0,1,5.3,2,1,2,50,0,0,0,0,2,0,1,0,1,1,0,0,0,0,4.7,0,0,-1,2196970,0.0003888442478
159,Jalen Smith,IND,24,7,3,4,6,1.9,0.4,1.1,37.5,0.3,0.6,50,0.7,1.1,62.5,1,1,2,0.3,0.6,0.3,0.1,1.1,5.4,0,0,-5.9,5604192,0.0009918923894
160,Kevin Love,MIA,35,5,1,4,6.4,1.8,0.8,1.8,44.4,0.2,0.8,25,0,0,0,0.2,2.6,2.8,0.8,0.4,0,0,0.4,6,0,0,-6.8,3835738,0.0006788916814
160,Peyton Watson,DEN,21,10,6,4,9,1.8,0.6,2.4,25,0.3,1.2,25,0.3,0.6,50,0.2,1.3,1.5,0.4,0.3,0,0.6,0.9,5.7,0,0,-3.4,2303520,0.0004077026549
162,Jose Alvarado,NOP,26,4,0,4,15.4,1.8,0.8,5,15,0.3,3.5,7.1,0,0,0,0,1,1,2.3,1,1.3,0.3,0.8,9.8,0,0,-5.3,1836096,0.0003249727434
162,Nassir Little,PHX,24,4,0,4,3.4,1.8,0.8,1.3,60,0.3,0.8,33.3,0,0,0,0,0.3,0.3,0,0,0,0,0.5,2.1,0,0,-1.5,6250000,0.00110619469
164,Brandon Boston,LAC,22,3,0,3,3.2,1.7,0.7,1.3,50,0,0,0,0.3,0.7,50,0.3,0.3,0.7,0.3,0,0,0,0.7,3,0,0,1.7,1836096,0.0003249727434
164,Zeke Nnaji,DEN,23,3,1,2,4.7,1.7,0.7,1,66.7,0,0,0,0.3,0.7,50,0.7,0,0.7,0,0.7,0,0.3,0.3,2.8,0,0,-1.7,4306281,0.0007621736283
166,Oshae Brissett,BOS,26,10,8,2,5.5,1.6,0.6,1.1,54.5,0.2,0.2,100,0.2,0.4,50,0.3,1.1,1.4,0,0.1,0.3,0.2,0.2,4.7,0,0,1,2165000,0.0003831858407
167,Joe Ingles,ORL,36,7,3,4,9.6,1.6,0.6,1.7,33.3,0.3,1,28.6,0.1,0.3,50,0.3,1.6,1.9,1.7,0,0.4,0,0.4,7.7,0,0,2.1,11000000,0.001946902655
168,Paul Reed,PHI,25,6,2,4,7.2,1.5,0.7,1.5,44.4,0,0,0,0.2,0.3,50,1.5,1.2,2.7,0.3,0.5,0.2,0.5,1.2,6.7,0,0,-7.3,7723000,0.001366902655
168,Tristan Thompson,CLE,33,10,3,7,8.7,1.5,0.7,1.6,43.8,0,0,0,0.1,0.2,50,1,1,2,1,0.2,0.1,0.5,0.9,7,0,0,-3.2,2019796,0.0003574860177
168,Xavier Tillman,BOS,25,8,6,2,8.6,1.5,0.6,1,62.5,0.1,0.1,100,0.1,0.1,100,0.5,1.3,1.8,0.4,0.4,0.4,0.4,0.9,6,0,0,2.8,1930681,0.0003417134513
171,Gabe Vincent,LAL,28,5,1,4,13.8,1.4,0.6,2.4,25,0.2,1.4,14.3,0,0,0,0.2,1.4,1.6,0.6,0.6,0.4,0,1.6,4.8,0,0,-1.8,10500000,0.00185840708
171,Jericho Sims,NYK,25,5,1,4,5.5,1.4,0.4,0.4,100,0,0,0,0.6,0.8,75,0.6,1,1.6,0.2,0,0.4,0.2,0.2,5.4,0,0,1.6,1927896,0.000341220531
173,Dyson Daniels,NOP,21,3,0,3,5.7,1.3,0.7,2,33.3,0,0.7,0,0,0,0,0,0.7,0.7,0,0.3,0.7,0,0,3.8,0,0,-4.3,5784120,0.001023738053
173,Jalen Pickett,DEN,24,3,1,2,3.6,1.3,0.7,1,66.7,0,0.3,0,0,0,0,0,0.3,0.3,0.3,0,0,0.3,0.3,3.2,0,0,-0.7,2019706,0.0003574700885
173,Neemias Queta,BOS,24,3,1,2,4.5,1.3,0.7,1,66.7,0,0,0,0,0,0,0.3,0.7,1,0,0,0,0.3,0,3.5,0,0,3.7,,
176,Doug McDermott,IND,32,10,4,6,6.4,1.3,0.5,1.1,45.5,0.3,0.8,37.5,0,0,0,0.2,0.1,0.3,0.7,0.1,0,0.2,0.5,3.2,0,0,-1.9,13750000,0.002433628319
177,Shake Milton,NYK,27,4,1,3,5.5,1.3,0,1.5,0,0,0.5,0,1.3,1.5,83.3,0,0.3,0.3,0.5,0,0.3,0,0,3.1,0,0,2.8,552938,9.79E-05
178,Josh Minott,MIN,21,5,3,2,3.6,1.2,0.4,1.8,22.2,0.4,1,40,0,0,0,0.2,0.8,1,0.6,0,0,0,0.4,3.3,0,0,2.4,1719864,0.000304400708
179,Wendell Moore Jr.,MIN,22,6,5,1,3.1,1.2,0.5,1.2,42.9,0.2,0.7,25,0,0,0,0,0.3,0.3,0.3,0.2,0.2,0,0.5,2.4,0,0,1.5,2421720,0.0004286230088
180,A.J. Lawson,DAL,23,10,7,3,3,1.1,0.4,0.9,44.4,0.2,0.6,33.3,0.1,0.2,50,0.1,0.2,0.3,0,0,0,0.1,0.1,1.8,0,0,-1.2,1000000,0.0001769911504
181,Caleb Houstan,ORL,21,3,2,1,4.7,1,0.3,0.7,50,0.3,0.7,50,0,0,0,0.3,0.3,0.7,0,0,0,0,0,1.8,0,0,-4.3,2000000,0.0003539823009
181,Chris Livingston,MIL,20,2,0,2,3.1,1,0.5,0.5,100,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,1119563,0.0001981527434
181,Jaden Springer,BOS,21,4,2,2,5.5,1,0.5,0.8,66.7,0,0,0,0,0,0,0,0.8,0.8,0.3,0.5,0,0.3,0.3,2.5,0,0,1,2226240,0.0003940247788
181,James Johnson,IND,37,1,0,1,1,1,0,0,0,0,0,0,1,2,50,0,0,0,0,1,0,0,0,0,0,0,1,777703,0.0001376465487
181,Svi Mykhailiuk,BOS,27,8,6,2,4,1,0.4,1.5,25,0.3,1.1,22.2,0,0,0,0.1,0.5,0.6,0.1,0.3,0.1,0,0.4,2.1,0,0,-1.1,2019706,0.0003574700885
186,Jarace Walker,IND,20,9,6,3,3.4,0.9,0.3,1.1,30,0,0.3,0,0.2,0.3,66.7,0.1,0.3,0.4,0.4,0.7,0.2,0.1,0.2,2.4,0,0,-2,6059520,0.001072481416
187,MarJon Beauchamp,MIL,23,4,1,3,2.4,0.8,0.3,1,25,0,0.5,0,0.3,0.5,50,0,0.3,0.3,0.5,0.3,0,0,0.3,1.6,0,0,0.8,2609400,0.000461840708
188,Bol Bol,PHX,24,3,0,3,4.3,0.7,0.3,1,33.3,0,0,0,0,0,0,0,1.3,1.3,0,0,0.3,0,0.7,3.3,0,0,0.3,2019706,0.0003574700885
188,Jordan McLaughlin,MIN,28,6,4,2,5,0.7,0.3,1.5,22.2,0,0.8,0,0,0.3,0,0,0.7,0.7,0.3,0.3,0,0,0.2,1.6,0,0,2.8,2320000,0.000410619469
188,Jordan Walsh,BOS,20,3,1,2,3.8,0.7,0.3,1,33.3,0,0.3,0,0,0,0,0,0.7,0.7,0,0,0,0,0,1.5,0,0,2,1119563,0.0001981527434
191,Kendall Brown,IND,21,7,5,2,3.5,0.6,0.3,0.9,33.3,0,0,0,0,0,0,0,0.4,0.4,0.3,0.4,0,0.1,0.3,1.5,0,0,-2.9,1100000,0.0001946902655
191,Kenrich Williams,OKC,29,7,6,1,4.5,0.6,0.3,1.1,25,0,0.7,0,0,0,0,0.1,1,1.1,0.4,0,0.1,0,0.4,3,0,0,-0.9,6175000,0.001092920354
193,Mamadi Diakite,NYK,27,4,1,3,3.7,0.5,0,0.8,0,0,0.5,0,0.5,0.5,100,0,0.8,0.8,0.3,0.3,0.3,0.3,0.8,3,0,0,3.3,,
193,Ousmane Dieng,OKC,21,4,2,2,1.8,0.5,0.3,0.5,50,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,4798440,0.0008492814159
195,Dwight Powell,DAL,32,13,8,5,3.4,0.5,0.1,0.2,33.3,0,0,0,0.3,0.5,66.7,0.2,0.7,0.9,0.2,0.2,0.1,0,0.7,1.9,0,0,0,4000000,0.0007079646018
196,Hunter Tyson,DEN,24,3,1,2,4.6,0.3,0,1.3,0,0,1,0,0.3,0.7,50,0.3,0.7,1,0.3,0.3,0,0,0,1.7,0,0,-2.3,1119563,0.0001981527434
197,Jaxson Hayes,LAL,24,4,1,3,6,0.3,0,0.5,0,0,0,0,0.3,0.5,50,0.8,2.3,3,0.3,0.5,0,0,1.8,3.7,0,0,1.8,2165000,0.0003831858407
198,Damian Jones,CLE,29,2,1,1,4.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,1,1,0,0.5,0,3.2,0,0,-1.5,2586665,0.0004578168142
198,David Roddy,PHX,23,2,0,2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2718240,0.0004811044248
198,De'Anthony Melton,PHI,26,1,0,1,7.2,0,0,2,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,2.7,0,0,-1,8000000,0.001415929204
198,E.J. Liddell,NOP,23,1,0,1,2.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,2,1801769,0.0003188971681
198,Goga Bitadze,ORL,24,2,2,0,4.9,0,0,1,0,0,0,0,0,0,0,0.5,1,1.5,1,0.5,0,0,0,2.8,0,0,-4,2062585,0.000365059292
198,Gordon Hayward,OKC,34,7,5,2,6.6,0,0,0.4,0,0,0,0,0,0,0,0.1,1.7,1.9,0.4,0,0.1,0.1,0.3,3.7,0,0,2.3,31500000,0.005575221239
198,Isaiah Thomas,PHX,35,1,0,1,3.6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-5,,
198,Jordan Hawkins,NOP,22,3,0,3,3.8,0,0,1.3,0,0,1,0,0,0,0,0,0.7,0.7,0,0,0,0,0.3,0.8,0,0,0.3,4310160,0.000762860177
198,Kobe Brown,LAC,24,3,0,3,3.2,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.7,0,0,0,0,0.3,0.8,0,0,1,2413320,0.0004271362832
198,Leonard Miller,MIN,20,3,2,1,2.3,0,0,0.3,0,0,0.3,0,0,0,0,0.3,1,1.3,0,0,0,0,0,1.6,0,0,2.3,1800000,0.0003185840708
198,Lindy Waters III,OKC,26,3,3,0,2.8,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.4,0,0,-1.3,766095,0.0001355920354
198,Matt Ryan,NOP,27,1,0,1,2.5,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,3.2,0,0,2,,
198,Olivier-Maxence Prosper,DAL,21,3,1,2,3,0,0,0.7,0,0,0,0,0,0,0,0,1,1,0.3,0,0,0,0,1.7,0,0,-2,2733360,0.000483780531
198,Orlando Robinson,MIA,23,1,0,1,2.5,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2.7,0,0,3,1801769,0.0003188971681
198,T.J. Warren,MIN,30,3,2,1,3.8,0,0,0.7,0,0,0.3,0,0,0,0,0.7,0.3,1,0.3,0,0,0,0,1.7,0,0,2.3,,
198,Thaddeus Young,PHX,36,1,0,1,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,638413,0.0001129934513
198,Thanasis Antetokounmpo,MIL,31,2,0,2,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,3,0,0,1,2019706,0.0003574700885
