Unnamed: 0,PLAYER,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Salary,Player_Comp_Share
150,Alex Len,SAC,30,7,3,4,7.8,2.7,1,1.3,77.8,0,0,0,0.7,0.9,83.3,1,1.9,2.9,0.1,1,0,0.4,2.1,6.6,0,0,3.4,3918000,0.0007406427221
151,PJ Dozier,SAC,26,3,1,2,2,2.7,1,2,50,0.7,1.3,50,0,0,0,0.3,0.3,0.7,0,0,0,0,0,3.5,0,0,2.7,539450,0.0001019754253
151,T.J. Warren,PHX,29,6,4,2,13.4,2.7,1,3.2,31.6,0.2,1.2,14.3,0.5,0.7,75,0.3,0.8,1.2,0.5,0.2,0.2,0.5,0.8,6.7,0,0,1.5,1836090,0.0003470869565
153,Austin Rivers,MIN,30,4,1,3,11.6,2.5,1,2,50,0.5,1.5,33.3,0,0,0,0.3,1,1.3,0.3,0.3,0.3,0,0.3,4.9,0,0,-5,1836090,0.0003470869565
153,Lamar Stevens,CLE,25,2,0,2,4.4,2.5,0.5,1,50,0.5,0.5,100,1,1,100,0,1.5,1.5,0,0,0,0,0,4.3,0,0,3.5,1782621,0.0003369793951
153,MarJon Beauchamp,MIL,22,2,1,1,2.6,2.5,1,1.5,66.7,0.5,0.5,100,0,0,0,0,0.5,0.5,0,0,0,0,0,3.1,0,0,0,2485200,0.0004697920605
156,Jalen McDaniels,PHI,25,8,5,3,12.7,2.4,1,2.5,40,0.4,1.1,33.3,0,0,0,0.4,1.6,2,0.6,0.4,0.1,0,1,5.7,0,0,1.8,1930681,0.0003649680529
157,Jaden Springer,PHI,20,4,1,3,4.2,2.3,1,1,100,0,0,0,0.3,0.5,50,0,0,0,0,0.3,0.3,0,0.5,2.8,0,0,0.8,2125200,0.0004017391304
158,Cody Zeller,MIA,30,21,11,10,8.3,2.2,1,1.7,57.1,0,0,0,0.3,0.7,40,0.5,1.8,2.3,0.3,0.6,0.1,0.2,1.3,5.7,0,0,-0.1,517060,9.77E-05
159,Damion Lee,PHX,30,8,4,4,11.1,2.1,0.8,2.5,30,0.4,1.9,20,0.3,0.3,100,0.5,0.9,1.4,0.6,0.1,0.3,0,1,5.3,0,0,0,1836090,0.0003470869565
159,Luke Kornet,BOS,27,8,5,3,4,2.1,0.9,1,87.5,0.1,0.1,100,0.3,0.3,100,0.6,0.6,1.3,0,0,0,0.1,0.3,4,0,0,0.4,2133278,0.0004032661626
161,David Duke Jr.,BKN,23,1,0,1,4.7,2,1,3,33.3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,-4,28241,5.34E-06
161,Goran Dragic,MIL,37,2,1,1,3.6,2,0,1,0,0,0.5,0,2,2,100,0,0,0,0.5,0,0,0,0,2.8,0,0,-2.5,390433,7.38E-05
