PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
Jerryd Bayless,MIL,26,77,39,38,22.3,7.8,2.9,6.7,42.6,0.5,1.6,30.8,1.6,1.8,88.3,0.3,2.5,2.7,3,1.7,0.8,0.2,2.1,16.6,0,0,-0.2,3000000,0.002005347594
Jerryd Bayless,MIL,26,77,39,38,22.3,7.8,2.9,6.7,42.6,0.5,1.6,30.8,1.6,1.8,88.3,0.3,2.5,2.7,3,1.7,0.8,0.2,2.1,16.6,0,0,-0.2,3000000,0.002005347594
Rasual Butler,WAS,36,75,39,36,20.1,7.7,2.9,6.9,42.2,1.2,3.1,38.7,0.7,0.9,79.1,0.4,2.3,2.6,0.8,0.6,0.4,0.3,1.3,13.5,0,0,-0.7,915243,0.0006117934492
Steven Adams,OKC,21,70,37,33,25.3,7.7,3.1,5.7,54.4,0,0,0,1.5,2.9,50.2,2.8,4.6,7.5,0.9,1.4,0.5,1.2,3.2,22,10,0,0.7,2184960,0.001460534759
Jae Crowder,BOS,24,82,47,35,20.1,7.7,2.8,6.6,42,0.7,2.5,29.3,1.3,1.7,77.3,0.9,2.7,3.6,1.1,0.6,0.9,0.3,1.7,16.6,0,0,0.9,915243,0.0006117934492
Beno Udrih,MEM,32,79,55,24,18.9,7.7,3.1,6.4,48.7,0.3,1.2,26.8,1.1,1.3,85.3,0.3,1.6,1.8,2.8,1.1,0.6,0.1,1.1,14.9,0,0,-0.1,2077000,0.001388368984
Norris Cole,NOP,26,75,37,38,24.4,7.6,3.1,7.4,41.2,0.7,2.3,31.3,0.8,1.1,71.6,0.2,1.9,2.1,3.4,1.3,0.8,0.2,1.7,16.8,0,0,-2.5,,
Cody Zeller,CHA,22,62,27,35,24,7.6,2.8,6,46.1,0,0,100,2,2.6,77.4,1.6,4.3,5.8,1.6,1,0.5,0.8,2.5,20.1,2,0,0.3,4030560,0.002694224599
JJ Hickson,DEN,26,73,26,47,19.3,7.6,3,6.3,47.5,0,0,0,1.6,2.8,57.7,2.1,4.1,6.2,0.8,1.3,0.5,0.5,1.9,17.8,9,0,-3.2,5381750,0.003597426471
J.J. Barea,DAL,31,77,49,28,17.7,7.5,2.9,7,42,0.7,2.2,32.3,1,1.2,80.9,0.3,1.4,1.7,3.4,0.9,0.4,0,1.4,15.2,0,0,1.6,909859,0.0006081945187
Tayshaun Prince,DET,35,58,27,31,24.1,7.5,3.1,6.9,44,0.5,1.2,46.3,0.8,1.1,75.4,0.9,2.7,3.6,1.6,0.6,0.5,0.3,0.9,16,0,0,-2.3,7707865,0.005152316176
Marvin Williams,CHA,29,78,32,46,26.1,7.4,2.7,6.3,42.4,1.2,3.4,35.8,0.8,1.1,71.3,0.7,4.2,4.9,1.3,0.8,0.9,0.5,1.9,18.5,1,0,-2,7000000,0.004679144385
Ray McCallum,SAC,24,68,22,46,21.1,7.4,3,6.9,43.8,0.5,1.6,30.6,0.8,1.2,67.9,0.8,1.9,2.6,2.8,1.3,0.7,0.2,1.4,15.9,0,0,-3.5,816482,0.000545776738
Donald Sloan,IND,27,53,22,31,20.9,7.4,2.7,6.7,40.8,0.8,2.5,31.3,1.1,1.5,77.9,0.2,2.5,2.7,3.6,1.2,0.4,0,0.9,16.1,1,0,-1.6,948163,0.0006337987968
Alan Anderson,BKN,32,74,35,39,23.6,7.4,2.6,5.9,44.3,1,2.8,34.8,1.1,1.4,81.2,0.4,2.3,2.8,1.1,0.8,0.8,0.1,2,14,0,0,-0.8,1276061,0.0008529819519
Omer Asik,NOP,28,76,43,33,26.1,7.3,2.8,5.4,51.7,0,0,0,1.7,3,58.2,3.2,6.6,9.8,0.9,1.3,0.4,0.7,1.9,22.6,13,0,0.3,8374646,0.005598025401
Channing Frye,ORL,32,75,23,52,24.9,7.3,2.5,6.5,39.2,1.8,4.6,39.3,0.4,0.5,88.6,0.4,3.5,3.9,1.3,1,0.6,0.5,2.5,16.3,2,0,-3.3,8579088,0.005734684492
Henry Walker,MIA,27,24,12,12,26.1,7.3,2.4,7,34.5,1.9,5.5,34.1,0.6,0.8,77.8,0.3,3.1,3.4,1.2,1,1,0.4,3.2,16.3,0,0,0,196217,0.0001311610963
Larry Sanders,MIL,26,27,12,15,21.7,7.3,3.2,6.4,50,0,0,0,0.9,1.8,50,2.5,3.7,6.1,0.9,1,1,1.4,3.9,22.1,0,0,-3.3,11000000,0.007352941176
Brandan Wright,PHX,27,75,37,38,19.3,7.3,3.1,4.8,64.2,0,0,0,1,1.5,69.6,1.7,2.6,4.3,0.5,0.5,0.7,1.3,1.4,18.5,3,0,-0.2,5000000,0.003342245989
Joakim Noah,CHI,30,67,39,28,30.6,7.2,2.8,6.4,44.5,0,0,0,1.6,2.6,60.3,3.3,6.4,9.6,4.7,1.8,0.7,1.1,3,29.4,15,0,1.2,12700000,0.008489304813
Jared Dudley,MIL,29,72,39,33,23.8,7.2,2.8,5.9,46.8,1,2.7,38.5,0.7,0.9,71.6,0.6,2.4,3.1,1.8,0.9,1,0.2,1.6,16.2,0,0,1.5,4250000,0.002840909091
Carl Landry,SAC,31,70,26,44,17,7.2,2.7,5.3,51.5,0,0,0,1.8,2.1,82,1.4,2.4,3.8,0.4,0.8,0.2,0.2,1.9,12.9,3,0,-3.1,6500000,0.004344919786
Trevor Booker,UTA,27,79,37,42,19.8,7.2,2.9,5.9,48.7,0.4,1.1,34.5,1.1,1.9,58.1,1.8,3.3,5,1.1,1.1,0.5,0.5,1.8,16.9,3,0,0.4,5000000,0.003342245989
Quincy Pondexter,NOP,27,75,48,27,23.9,7.2,2.5,6,42.1,1.2,3.3,37.3,0.9,1.3,74,0.7,1.9,2.6,1.3,0.7,0.3,0.3,2,13.2,0,0,0.1,3146068,0.002102986631
Quincy Pondexter,NOP,27,75,48,27,23.9,7.2,2.5,6,42.1,1.2,3.3,37.3,0.9,1.3,74,0.7,1.9,2.6,1.3,0.7,0.3,0.3,2,13.2,0,0,0.1,3146068,0.002102986631
Lance Thomas,NYK,27,62,20,42,24,7.1,2.9,7.1,41.2,0.1,0.4,31.8,1.2,1.6,72.7,1,2.1,3.1,1.1,1.2,0.6,0.1,1.6,13.6,0,0,-5.5,403784,0.0002699090909
Leandro Barbosa,GSW,32,66,54,12,14.9,7.1,2.8,5.8,47.4,0.7,1.7,38.4,0.9,1.1,78.4,0.3,1,1.4,1.5,0.7,0.6,0.1,1.3,12.5,0,0,-0.1,915243,0.0006117934492
Jason Terry,HOU,37,77,53,24,21.3,7,2.4,5.8,42.2,1.6,4.2,39,0.5,0.6,81.3,0.2,1.4,1.6,1.9,1,0.9,0.2,1.5,14.1,0,0,1.8,5850313,0.003910637032
John Henson,MIL,24,67,35,32,18.3,7,2.9,5.2,56.6,0,0,0,1.2,2,56.9,1.9,2.8,4.7,0.9,1.3,0.4,2,2.3,19.9,2,0,-1.1,1987320,0.00132842246
Austin Rivers,LAC,22,76,46,30,20.6,7,2.7,6.5,40.9,0.5,1.7,29.8,1.1,1.7,67.5,0.4,1.6,2,2,0.9,0.6,0.2,1.9,14,0,0,-1.7,2439840,0.001630909091
Austin Rivers,LAC,22,76,46,30,20.6,7,2.7,6.5,40.9,0.5,1.7,29.8,1.1,1.7,67.5,0.4,1.6,2,2,0.9,0.6,0.2,1.9,14,0,0,-1.7,2439840,0.001630909091
Patty Mills,SAS,26,51,37,14,15.7,6.9,2.5,6.6,38.1,1.2,3.6,34.1,0.6,0.8,82.5,0.4,1.1,1.5,1.7,0.7,0.5,0,1.1,12.3,0,0,3,3842105,0.002568252005
Kevin Garnett,MIN,39,47,20,27,20.3,6.9,3,6.5,46.7,0,0.1,14.3,0.8,1,80,1,5.6,6.6,1.6,1,1,0.4,2.3,20.3,3,0,-0.5,12000000,0.008021390374
Jusuf Nurkić,DEN,20,62,21,41,17.8,6.9,2.8,6.2,44.6,0,0,0,1.4,2.1,63.6,2,4.1,6.2,0.8,1.4,0.8,1.1,3.3,19.9,4,0,-0.1,,
Will Barton,DEN,24,58,30,28,17,6.8,2.6,6.1,42.5,0.4,1.5,27.1,1.3,1.6,78.7,0.4,2.3,2.8,1.4,1.1,0.8,0.3,1.2,14.7,2,0,-0.5,915243,0.0006117934492
CJ McCollum,POR,23,62,37,25,15.7,6.8,2.6,5.9,43.6,0.9,2.2,39.6,0.8,1.2,69.9,0.2,1.2,1.5,1,0.8,0.7,0.1,1.3,11.8,0,0,1.9,2421000,0.001618315508
Chase Budinger,MIN,27,67,8,59,19.2,6.8,2.5,5.8,43.3,0.8,2.1,36.4,1,1.2,82.7,0.5,2.5,3,1,0.7,0.7,0.1,1.1,13.5,0,0,-3.9,5000000,0.003342245989
Cory Joseph,SAS,23,79,53,26,18.3,6.8,2.6,5.2,50.4,0.2,0.6,36.4,1.3,1.8,73.4,0.6,1.9,2.4,2.4,0.8,0.6,0.2,1.3,14.8,0,0,2.2,2023261,0.001352447193
Brian Roberts,CHA,29,72,30,42,18.5,6.7,2.4,6.3,38.9,0.9,2.7,32.1,0.9,1,89.2,0.2,1.3,1.5,2.3,0.8,0.5,0.1,1,12.7,0,0,-1.2,2732000,0.001826203209
Brian Roberts,CHA,29,72,30,42,18.5,6.7,2.4,6.3,38.9,0.9,2.7,32.1,0.9,1,89.2,0.2,1.3,1.5,2.3,0.8,0.5,0.1,1,12.7,0,0,-1.2,2732000,0.001826203209
Adreian Payne,MIN,24,32,7,25,23.1,6.7,2.8,6.9,41.4,0,0.3,11.1,0.9,1.4,65.2,1.5,3.6,5.1,0.9,1.4,0.6,0.3,2.8,15.4,3,0,-7.6,1855320,0.001240187166
Darrell Arthur,DEN,27,58,22,36,17,6.6,2.7,6.6,40.4,0.4,1.9,23.6,0.8,1,78,0.9,2,2.9,1,0.8,0.8,0.4,2.5,14.6,2,0,-0.2,3457149,0.002310928476
Aron Baynes,SAS,28,70,49,21,16,6.6,2.6,4.7,56.6,0,0.1,25,1.3,1.5,86.5,1.6,3,4.5,0.5,0.9,0.2,0.3,2.3,13.5,5,0,1.9,2077000,0.001388368984
Kevin Seraphin,WAS,25,79,45,34,15.6,6.6,2.9,5.7,51.3,0,0,0,0.7,1,70.7,1.1,2.5,3.6,0.7,1.2,0.1,0.7,2.5,13.5,1,0,-2,3898692,0.00260607754
Alexis Ajinca,NOP,27,68,41,27,14.1,6.5,2.7,4.8,55,0,0,0,1.2,1.5,81.8,1.5,3.1,4.6,0.7,1,0.3,0.8,2.2,15.3,5,0,-0.2,981084,0.0006558048128
Ryan Kelly,LAL,24,52,11,41,23.7,6.4,2,5.9,33.7,0.9,2.6,33.6,1.5,1.8,83.2,0.3,2.6,2.8,1.8,0.7,0.6,0.5,2.3,14.8,0,0,-2.8,1650000,0.001102941176
Anthony Tolliver,DET,30,76,36,40,18.9,6.3,2.1,5.2,41,1.4,3.8,36.6,0.7,0.9,78.3,0.7,2.4,3.1,0.8,0.7,0.3,0.2,1.8,12.1,1,0,1.4,3000000,0.002005347594
Anthony Tolliver,DET,30,76,36,40,18.9,6.3,2.1,5.2,41,1.4,3.8,36.6,0.7,0.9,78.3,0.7,2.4,3.1,0.8,0.7,0.3,0.2,1.8,12.1,1,0,1.4,3000000,0.002005347594
Jerami Grant,PHI,21,65,18,47,21.2,6.3,1.9,5.4,35.2,0.8,2.4,31.4,1.8,3,59.1,0.8,2.3,3,1.2,1.3,0.6,1,2.2,15.5,0,0,-2.7,884879,0.0005914966578
Andrew Bogut,GSW,30,67,58,9,23.6,6.3,3,5.3,56.3,0,0,0,0.3,0.6,52.4,2.1,6,8.1,2.7,1.6,0.6,1.7,2.8,25.3,6,0,8,12972973,0.008671773396
Charlie Villanueva,DAL,30,64,37,27,10.6,6.3,2.3,5.7,41.4,1.3,3.5,37.6,0.3,0.5,57.1,0.5,1.9,2.3,0.3,0.4,0.2,0.3,1,10.8,0,0,-0.8,915243,0.0006117934492
Mitch McGary,OKC,23,32,20,12,15.2,6.3,2.8,5.2,53.3,0,0.1,0,0.8,1.3,62.5,1.7,3.5,5.2,0.4,1,0.5,0.5,2.3,15.2,3,0,1.5,1400040,0.000935855615
Ramon Sessions,WAS,29,64,26,38,18.6,6.3,2,5.2,37.4,0.3,0.9,31.7,2.1,2.7,76.9,0.4,1.9,2.3,2.8,1.3,0.5,0,1.1,13.3,0,0,-2.5,2077000,0.001388368984
Jeremy Lamb,OKC,23,47,27,20,13.5,6.3,2.2,5.3,41.6,0.8,2.4,34.2,1,1.2,89.1,0.2,2.1,2.3,0.9,0.6,0.4,0.1,1.1,11.6,1,0,-1.5,2202000,0.001471925134
Danny Granger,PHX,32,30,11,19,20.4,6.3,2.2,5.4,40.1,1,2.8,35.7,0.9,1.2,75.7,0.7,2,2.7,0.6,0.8,0.4,0.2,2.2,11.4,0,0,-3.5,2077000,0.001388368984
Alex Len,PHX,22,69,35,34,22,6.3,2.6,5.1,50.7,0,0,33.3,1.1,1.5,70.2,2.1,4.5,6.6,0.5,1.1,0.5,1.5,3.1,19.8,10,0,-0.4,3649920,0.002439786096
Ben Gordon,ORL,32,56,17,39,14.1,6.2,2.3,5.3,43.7,0.6,1.7,36.1,1,1.2,83.6,0.1,1,1.1,0.9,1,0.3,0,1.1,8.7,0,0,-2.4,4500000,0.00300802139
Shane Larkin,NYK,22,76,16,60,24.5,6.2,2.5,5.7,43.3,0.5,1.5,30.2,0.8,1,78.2,0.4,1.9,2.3,3,1.1,1.2,0.1,2,16.4,1,0,-5.2,1606080,0.001073582888
Chris Copeland,IND,31,50,19,31,16.5,6.2,2.2,6.2,36.1,1,3.3,31.1,0.7,0.9,73.3,0.5,1.8,2.2,1,1.2,0.2,0.2,1.6,10.5,1,0,-0.6,3135000,0.002095588235
Chris Copeland,IND,31,50,19,31,16.5,6.2,2.2,6.2,36.1,1,3.3,31.1,0.7,0.9,73.3,0.5,1.8,2.2,1,1.2,0.2,0.2,1.6,10.5,1,0,-0.6,3135000,0.002095588235
Ish Smith,PHI,26,55,24,31,15.1,6.1,2.6,6.7,39,0.3,1.1,30,0.6,1,59.6,0.3,1.5,1.8,3.3,1.4,0.7,0.1,0.9,14.1,0,0,-1.9,861405,0.0005758054813
T.J. Warren,PHX,21,40,17,23,15.4,6.1,2.8,5.4,52.8,0.1,0.5,23.8,0.4,0.5,73.7,1,1.1,2.1,0.6,0.7,0.5,0.2,1.3,11,0,0,-2.4,1953120,0.001305561497
Jason Thompson,SAC,28,81,29,52,24.6,6.1,2.5,5.3,47,0,0,0,1.1,1.8,62.2,1.7,4.8,6.5,1,1,0.4,0.7,3,17.8,7,0,-2.3,6037500,0.004035762032
Tony Snell,CHI,23,72,43,29,19.6,6,2.2,5.2,42.9,1,2.7,37.1,0.6,0.8,80,0.4,2,2.4,0.9,0.7,0.4,0.2,1.2,11.4,1,0,0.7,1472400,0.0009842245989
Tarik Black,LAL,23,63,25,38,19,6,2.5,4.3,57.5,0,0,0,1,1.9,55.1,2.3,3.6,5.8,0.7,0.8,0.3,0.4,2.5,15.3,5,0,-1.3,507336,0.0003391283422
Otto Porter Jr.,WAS,22,74,41,33,19.4,6,2.4,5.3,45,0.5,1.4,33.7,0.8,1.1,73.4,0.9,2,3,0.9,0.7,0.6,0.4,1.3,13.2,0,0,-0.5,4470480,0.00298828877
Kyle Singler,OKC,27,80,36,44,21.8,6,2.2,5.6,38.6,1.2,3,39.8,0.5,0.7,76.9,0.4,2,2.4,1.1,0.7,0.6,0.3,1.9,12.4,0,0,-1.2,1090000,0.0007286096257
Jonas Jerebko,BOS,28,75,37,38,16.4,6,2.3,5.1,44.6,0.7,1.9,38.6,0.7,0.9,84.8,1.2,2.5,3.8,0.9,0.6,0.6,0.2,1.8,13.9,1,0,1.9,4500000,0.00300802139
Meyers Leonard,POR,23,55,32,23,15.4,5.9,2.3,4.5,51,0.9,2,42,0.5,0.6,93.8,0.8,3.7,4.5,0.6,0.7,0.2,0.3,2.1,12.9,3,0,0.3,2317920,0.001549411765
Tyler Johnson,MIA,23,32,15,17,18.8,5.9,2.2,5.2,41.9,0.6,1.5,37.5,1,1.5,68.1,0.4,2.1,2.5,1.3,0.9,1,0.3,1.3,13.9,1,0,-2,199950,0.0001336564171
Shaun Livingston,GSW,29,78,64,14,18.8,5.9,2.5,5.1,50,0,0,0,0.8,1.2,71.4,0.6,1.8,2.3,3.3,1.3,0.6,0.3,1.4,15.1,1,0,0.7,5305000,0.003546122995
Caron Butler,DET,35,78,30,48,20.8,5.9,2.1,5.1,40.7,1.1,2.8,37.9,0.7,0.8,90.2,0.3,2.2,2.5,1,0.6,0.6,0.1,1.5,11.6,0,0,-0.3,4500000,0.00300802139
Willie Green,ORL,33,52,15,37,18.3,5.9,2.3,5.9,38.6,0.8,2.3,34.7,0.5,0.7,82.4,0.3,1.3,1.5,1.3,0.9,0.5,0.1,1.6,10.5,0,0,-1.6,1448490,0.0009682419786
Quincy Acy,NYK,24,68,12,56,18.9,5.9,2.2,4.9,45.9,0.3,0.9,30,1.1,1.4,78.4,1.2,3.3,4.4,1,0.9,0.4,0.3,2.2,13.9,1,0,-3.1,915243,0.0006117934492
Richard Jefferson,DAL,35,74,46,28,16.8,5.8,1.9,4.4,44.4,0.9,2.1,42.6,1.1,1.5,68.4,0.3,2.1,2.5,0.8,0.7,0.4,0.1,1.6,11.1,2,0,0.1,915243,0.0006117934492
Spencer Hawes,LAC,27,73,52,21,17.5,5.8,2.2,5.7,39.3,0.8,2.4,31.3,0.6,0.9,64.7,0.4,3.1,3.5,1.2,0.8,0.3,0.7,2.4,14.2,0,0,-1.3,5305000,0.003546122995
Vince Carter,MEM,38,66,45,21,16.5,5.8,2,6.2,33.3,1,3.5,29.7,0.7,0.9,78.9,0.4,1.6,2,1.2,0.7,0.7,0.2,1.5,12,0,0,0.5,3911981,0.002614960561
Kyle O'Quinn,ORL,25,51,15,36,16.2,5.8,2.3,4.7,49.2,0.2,0.8,27.9,0.9,1.1,77.2,0.9,3,3.9,1.2,1.1,0.6,0.8,2.2,15.2,3,0,-2.4,915243,0.0006117934492
Chris Johnson,UTA,25,29,9,20,18.2,5.7,2.1,5.3,40.3,1,3.3,29.5,0.5,0.6,87.5,0.3,1.6,1.9,0.5,0.5,0.9,0.2,1.5,11.7,0,0,-1.1,107676,7.20E-05
Kirk Hinrich,CHI,34,66,37,29,24.4,5.7,2.2,5.8,37.3,0.9,2.5,34.5,0.5,0.8,70,0.3,1.5,1.8,2.2,1.1,0.7,0.2,2.2,12.9,0,0,0.6,2732000,0.001826203209
Kirk Hinrich,CHI,34,66,37,29,24.4,5.7,2.2,5.8,37.3,0.9,2.5,34.5,0.5,0.8,70,0.3,1.5,1.8,2.2,1.1,0.7,0.2,2.2,12.9,0,0,0.6,2732000,0.001826203209
Thomas Robinson,PHI,24,54,26,28,14.8,5.7,2.3,4.8,48.5,0,0,0,1,2,52.8,1.8,3.9,5.6,0.6,1.1,0.6,0.4,1.9,15.2,4,0,0.2,3678360,0.002458796791
Nate Robinson,DEN,31,42,22,20,14.1,5.7,2.1,6.1,34.5,0.7,2.7,27.7,0.7,1.1,67.4,0.4,0.8,1.2,2.3,0.7,0.5,0.1,1.8,11.5,0,0,-3,107676,7.20E-05
Pero Antic,ATL,32,63,46,17,16.5,5.7,1.7,4.7,36.5,0.8,2.7,30.1,1.4,2,71.5,0.9,2.1,3,0.8,0.8,0.3,0.2,2.1,11.2,0,0,2.4,1250000,0.0008355614973
PJ Hairston,CHA,22,45,19,26,15.3,5.6,1.9,6,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,2,0.5,0.5,0.5,0.3,1.4,10.6,1,0,-2.3,,
Archie Goodwin,PHX,20,41,16,25,13,5.6,1.9,4.9,39.3,0.3,1,29.3,1.5,2,73.5,0.7,1.1,1.8,1.1,1.2,0.4,0.2,1.3,10.2,0,0,-4,1112280,0.0007435026738
John Jenkins,ATL,24,24,13,11,12.4,5.6,2,4.1,49.5,0.9,2.2,40.4,0.7,0.8,84.2,0.1,1.5,1.6,0.5,0.3,0.4,0,0.6,9.3,0,0,-1,1312920,0.0008776203209
Al-Farouq Aminu,DAL,24,74,45,29,18.5,5.6,2,4.8,41.2,0.5,1.7,27.4,1.1,1.6,71.2,1.5,3.1,4.6,0.8,0.7,0.9,0.8,1.9,16.9,4,0,1.4,981084,0.0006558048128
Cole Aldrich,NYK,26,61,11,50,16,5.5,2.4,4.9,47.8,0,0,0,0.8,1,78.1,1.7,3.9,5.5,1.2,1,0.6,1.1,2,18.1,6,0,-4.5,915243,0.0006117934492
Sean Kilpatrick,MIN,25,4,2,2,17.9,5.5,1.8,5,35,1,3.3,30.8,1,1,100,0.3,1.3,1.5,1,0.5,0.8,0,0.8,10.6,0,0,4.3,,
Shelvin Mack,ATL,25,55,37,18,15.1,5.4,2.1,5.3,40.1,0.7,2.3,31.5,0.5,0.6,80.6,0.1,1.3,1.4,2.8,0.9,0.5,0,0.6,12.2,1,0,0.8,2433333,0.001626559492
Drew Gooden,WAS,33,51,31,20,16.9,5.4,2.2,5.4,39.9,0.5,1.2,39,0.7,0.9,77.3,1.4,3,4.4,1,0.5,0.4,0.2,1.8,13.3,2,0,0,915243,0.0006117934492
Shawne Williams,DET,29,63,26,37,17.2,5.4,1.9,4.8,40.3,1,2.8,36,0.6,0.6,87.5,0.6,2.1,2.6,0.7,0.5,0.4,0.3,2.1,11.3,1,0,-1.6,1227985,0.0008208455882
Cleanthony Early,NYK,24,39,6,33,16.6,5.4,1.9,5.5,35.5,0.6,2.2,26.2,0.9,1.2,75,0.6,1.9,2.5,0.9,1,0.6,0.3,1.5,11.5,0,0,-4.2,507336,0.0003391283422
Thabo Sefolosha,ATL,31,52,43,9,18.8,5.3,2,4.8,41.8,0.5,1.5,32.1,0.9,1.1,77.6,1,3.3,4.3,1.4,0.7,1,0.4,1.3,16.2,1,0,3.3,4150000,0.002774064171
Justin Hamilton,MIN,25,41,6,35,17.4,5.3,2.1,4.3,47.8,0.2,0.8,32.3,1,1.1,83,1.4,1.9,3.3,0.9,0.6,0.7,0.7,1.7,14.1,2,0,-4.3,816482,0.000545776738
Bryce Cotton,UTA,22,15,9,6,10.6,5.3,1.9,4.6,42,0.5,1.3,35,1,1.2,83.3,0.2,1,1.2,1,0.8,0.3,0,0.4,8.3,0,0,0,92514,6.18E-05
Chris Andersen,MIA,36,60,27,33,18.9,5.3,2,3.5,58,0.1,0.2,30.8,1.3,1.9,66.7,1.3,3.7,5,0.7,0.7,0.4,1,1.5,16.1,1,0,0,5375000,0.003592914439
Ricky Ledo,NYK,22,17,4,13,14.4,5.3,1.9,5.6,33.3,0.6,1.6,37,0.9,1.3,72.7,0.9,1.2,2.1,1.1,1.5,0.4,0.1,1.2,9.2,0,0,-3.1,48028,3.21E-05
Elijah Millsap,UTA,27,47,25,22,19.7,5.3,1.7,5.1,34,0.6,1.9,31.1,1.2,1.8,67.4,0.6,2.6,3.2,1.2,1.4,1.2,0.3,2.6,14.1,0,0,1.2,241731,0.000161584893
Brandon Davies,PHI,23,27,6,21,15.7,5.3,2,5.1,40.1,0.3,1.3,23.5,0.9,1.4,64.9,1.4,1.7,3.1,1.1,1.1,0.7,0.3,2.2,12.3,0,0,-6,816482,0.000545776738
Anthony Bennett,MIN,22,57,12,45,15.7,5.2,2.2,5.2,42.1,0.1,0.4,30.4,0.7,1.1,64.1,0.9,2.9,3.8,0.8,0.6,0.5,0.3,1.5,12.7,2,0,-5.2,5563920,0.003719197861
JaKarr Sampson,PHI,22,74,17,57,15.3,5.2,2,4.7,42.2,0.4,1.7,24.4,0.9,1.3,67,0.5,1.7,2.2,1,1,0.5,0.4,1.8,11,0,0,-4.5,507336,0.0003391283422
Kent Bazemore,ATL,25,75,53,22,17.6,5.2,1.9,4.4,42.6,0.6,1.8,36.4,0.8,1.3,60,0.3,2.7,3,1,1,0.7,0.4,1.7,12.7,0,0,-1.3,2000000,0.001336898396
Tim Frazier,POR,24,11,3,8,21.8,5.2,1.9,5.5,34.4,0.5,1.5,29.4,0.9,1.9,47.6,0.5,2,2.5,5.5,2.3,0.7,0,2.4,16.3,1,0,-0.5,59686,3.99E-05
Kosta Koufos,MEM,26,81,55,26,16.6,5.2,2.2,4.4,50.8,0,0,0,0.7,1,64.7,1.5,3.8,5.3,0.5,0.9,0.4,0.8,1.8,14.7,0,0,1.2,3000000,0.002005347594
Kosta Koufos,MEM,26,81,55,26,16.6,5.2,2.2,4.4,50.8,0,0,0,0.7,1,64.7,1.5,3.8,5.3,0.5,0.9,0.4,0.8,1.8,14.7,0,0,1.2,3000000,0.002005347594
Aaron Gordon,ORL,19,47,14,33,17,5.2,2,4.4,44.7,0.3,1,27.1,0.9,1.3,72.1,1,2.6,3.6,0.7,0.8,0.4,0.5,1.8,12.5,1,0,-3.5,3992040,0.002668475936
Dante Cunningham,NOP,28,66,37,29,25,5.2,2.3,5.1,45.7,0,0.2,10,0.4,0.7,61.7,1.1,2.8,3.9,0.8,0.5,0.7,0.6,1.5,14.2,1,0,-0.5,716043,0.000478638369
Ronnie Price,LAL,32,43,13,30,22.8,5.1,1.8,5.2,34.5,0.7,2.5,28.4,0.8,1,80,0.4,1.2,1.6,3.8,1.2,1.6,0.1,2.7,16.6,0,0,-1.7,915243,0.0006117934492
Shabazz Napier,MIA,23,51,24,27,19.8,5.1,1.7,4.5,38.2,0.8,2.3,36.4,0.9,1.1,78.6,0.3,1.9,2.2,2.5,1.6,0.8,0.1,1.5,12.6,0,0,-0.6,1238640,0.0008279679144
AJ Price,CLE,28,26,11,15,12.4,5.1,2,5.3,37.2,0.6,2.2,26.3,0.6,0.9,66.7,0.2,1,1.2,1.8,0.5,0.3,0,0.6,9.5,0,0,-2.5,,
James Ennis III,MIA,24,62,27,35,17,5,1.6,4,40.9,0.5,1.5,32.6,1.3,1.5,84,0.8,2,2.8,0.8,0.6,0.4,0.3,1.4,11,1,0,-0.1,507336,0.0003391283422
Joe Ingles,UTA,27,79,36,43,21.2,5,1.9,4.5,41.5,0.9,2.6,35.6,0.4,0.5,75,0.3,1.9,2.2,2.3,1.2,0.9,0.1,1.6,13,0,0,-0.6,507336,0.0003391283422
Gigi Datome,BOS,27,21,11,10,10,5,2,4.2,48.3,0.9,1.9,45,0,0,100,0.1,1.2,1.4,0.4,0.4,0.1,0.3,0.7,8.2,0,0,3.2,,
Lavoy Allen,IND,26,63,29,34,17,5,2.2,4.7,47.2,0,0,0,0.5,0.7,70.2,2,3.2,5.1,1.2,0.6,0.2,0.7,1.6,15,4,0,1.4,915243,0.0006117934492
Mike Muscala,ATL,23,40,26,14,12.6,4.9,2.1,3.8,55,0.2,0.6,40.9,0.6,0.6,88,1.3,1.7,3,0.6,0.5,0.4,0.5,1.3,11.5,1,0,1.4,816482,0.000545776738
Lou Amundson,NYK,32,53,17,36,17.7,4.9,2.1,4.8,42.7,0,0,0,0.8,1.6,47.1,1.8,3.3,5.1,1.3,1.2,0.4,1,2.4,16,3,0,-2.8,409167,0.0002735073529
Andrew Nicholson,ORL,25,40,14,26,12.3,4.9,2.1,4.8,43.7,0.3,1,31.7,0.4,0.6,60,0.4,1.6,2.1,0.6,0.6,0.2,0.3,1.3,8.9,0,0,-2.1,,
Shawn Marion,CLE,37,57,36,21,19.3,4.8,2.1,4.7,44.6,0.2,0.8,26.1,0.5,0.6,76.5,1.1,2.4,3.5,0.9,0.6,0.5,0.5,1,12.7,0,0,0.9,915243,0.0006117934492
Danté Exum,UTA,19,82,38,44,22.2,4.8,1.8,5.1,34.9,1,3.2,31.4,0.2,0.4,62.5,0.3,1.3,1.6,2.4,1.4,0.5,0.2,1.8,10.9,0,0,1.1,,
