PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
Dwight Howard,HOU,29,41,29,12,29.8,15.8,6.1,10.3,59.3,0,0,50,3.5,6.6,52.8,2.7,7.8,10.5,1.2,2.8,0.7,1.3,3.3,33.3,23,0,5.3,21436271,0.01432905816
Chandler Parsons,DAL,26,66,41,25,33.1,15.7,5.8,12.6,46.2,2,5.3,38,2.1,2.9,72,1,3.9,4.9,2.4,1.5,1,0.3,2.1,27.8,3,0,3.1,14700000,0.009826203209
Lou Williams,TOR,28,80,48,32,25.2,15.5,4.7,11.6,40.4,1.9,5.6,34,4.3,4.9,86.1,0.3,1.6,1.9,2.1,1.3,1.1,0.1,1.3,23.3,0,0,3.7,5450000,0.003643048128
Enes Freedom,OKC,23,75,32,43,28.5,15.5,6.4,12.4,51.9,0.2,0.6,35.6,2.4,3.1,78.2,3.7,5.3,8.9,0.7,1.9,0.5,0.4,2.5,28,31,0,-0.5,5694674,0.003806600267
Brandon Jennings,DET,25,41,17,24,28.6,15.4,5.3,13.2,40.1,1.9,5.1,36,2.9,3.5,83.9,0.5,2,2.5,6.6,2.2,1.1,0.1,1.6,29.7,5,0,0.8,8000000,0.005347593583
Markieff Morris,PHX,25,82,39,43,31.5,15.3,6.2,13.4,46.5,0.7,2.2,31.8,2.2,2.8,76.3,1.3,4.8,6.2,2.3,2.1,1.2,0.5,3,29.3,12,0,1.3,2989239,0.001998154412
Markieff Morris,PHX,25,82,39,43,31.5,15.3,6.2,13.4,46.5,0.7,2.2,31.8,2.2,2.8,76.3,1.3,4.8,6.2,2.3,2.1,1.2,0.5,3,29.3,12,0,1.3,2989239,0.001998154412
Bradley Beal,WAS,22,63,37,26,33.5,15.3,5.8,13.5,42.7,1.7,4.1,40.9,2.1,2.6,78.3,0.9,2.9,3.8,3.1,2,1.2,0.3,2.2,27,2,0,3,4505280,0.003011550802
Ty Lawson,DEN,27,75,29,46,35.5,15.2,5.4,12.3,43.6,0.9,2.7,34.1,3.5,4.8,73,0.6,2.6,3.1,9.6,2.5,1.2,0.1,1.7,35,28,0,-0.4,11595506,0.007751006684
Al Horford,ATL,29,76,56,20,30.5,15.2,6.8,12.7,53.8,0.1,0.5,30.6,1.4,1.9,75.9,1.7,5.4,7.2,3.2,1.3,0.9,1.3,1.6,33.9,14,1,3.8,12000000,0.008021390374
