PLAYER,Season,Tier,Performance_Index,SALARY,Predicted_Salary,Salary_Diff,Payment_Status
Luis Scola,2010-2011,1,96.93,7775378.0,14999305.0,-7223927.0,Overpaid
Yao Ming,2008-2009,1,96.91,15070550.0,14993791.0,76759.0,Underpaid
Dwight Howard,2009-2010,1,96.89,15202590.0,14923122.0,279468.0,Underpaid
Zydrunas Ilgauskas,2004-2005,1,96.87,14625000.0,14918993.0,-293993.0,Overpaid
Tim Duncan,2012-2013,1,96.85,9638554.0,14885489.0,-5246935.0,Overpaid
Ben Wallace,2007-2008,1,96.83,15500000.0,14885134.0,614866.0,Underpaid
Antawn Jamison,2006-2007,1,96.81,15101626.0,14883595.0,218031.0,Underpaid
Allen Iverson,2004-2005,1,96.8,14625000.0,14879860.0,-254860.0,Overpaid
Al Jefferson,2011-2012,1,96.78,15000000.0,14862342.0,137658.0,Underpaid
Carlos Boozer,2012-2013,1,96.76,15300000.0,14846583.0,453417.0,Underpaid
Rudy Gay,2012-2013,1,96.74,16460538.0,14828122.0,1632416.0,Underpaid
Vince Carter,2010-2011,1,96.72,17522375.0,14797376.0,2724999.0,Underpaid
Andrew Bynum,2011-2012,1,96.7,14900000.0,14785774.0,114226.0,Underpaid
Zydrunas Ilgauskas,2007-2008,1,96.68,10142156.0,14782390.0,-4640234.0,Overpaid
Paul Pierce,2012-2013,1,96.66,16790345.0,14782141.0,2008204.0,Underpaid
Russell Westbrook,2013-2014,1,96.64,14693906.0,14754747.0,-60841.0,Overpaid
Lebron James,2008-2009,1,96.62,14410581.0,14714350.0,-303769.0,Overpaid
Brook Lopez,2014-2015,1,96.61,15719062.0,14693429.0,1025633.0,Underpaid
Ray Allen,2006-2007,1,96.59,14611570.0,14691238.0,-79668.0,Overpaid
James Harden,2014-2015,1,96.57,14728844.0,14658409.0,70435.0,Underpaid
Kevin Garnett,2009-2010,1,96.55,16417044.0,14656363.0,1760681.0,Underpaid
Chris Paul,2010-2011,1,96.53,14940153.0,14653899.0,286254.0,Underpaid
Andre Iguodala,2012-2013,1,96.51,14968250.0,14616929.0,351321.0,Underpaid
Stephon Marbury,2004-2005,1,96.49,14625000.0,14604130.0,20870.0,Underpaid
Carmelo Anthony,2014-2015,1,96.47,22458401.0,14594563.0,7863838.0,Underpaid
Baron Davis,2006-2007,1,96.45,15070000.0,14593620.0,476380.0,Underpaid
Chris Webber,2002-2003,1,96.44,14343000.0,14584444.0,-241444.0,Overpaid
Russell Westbrook,2012-2013,1,96.42,14693906.0,14582159.0,111747.0,Underpaid
Dwyane Wade,2008-2009,1,96.4,14410581.0,14572356.0,-161775.0,Overpaid
Andrei Kirilenko,2008-2009,1,96.38,15106000.0,14557082.0,548918.0,Underpaid
Kobe Bryant,2004-2005,1,96.36,14625000.0,14536991.0,88009.0,Underpaid
Tyson Chandler,2014-2015,1,96.34,14846888.0,14511088.0,335800.0,Underpaid
Dwyane Wade,2006-2007,1,96.32,3841443.0,14504037.0,-10662594.0,Overpaid
Mike Bibby,2007-2008,1,96.3,14983603.0,14499112.0,484491.0,Underpaid
Antoine Walker,2004-2005,1,96.28,14625000.0,14491040.0,133960.0,Underpaid
Jason Kidd,2007-2008,1,96.26,19728000.0,14430132.0,5297868.0,Underpaid
Deron Williams,2010-2011,1,96.25,14940153.0,14408796.0,531357.0,Underpaid
Amar'E Stoudemire,2008-2009,1,96.23,15070550.0,14388467.0,682083.0,Underpaid
Dikembe Mutombo,2001-2002,1,96.21,14315000.0,14382316.0,-67316.0,Overpaid
John Wall,2014-2015,1,96.19,14746000.0,14368702.0,377298.0,Underpaid
Antawn Jamison,2011-2012,1,96.17,15076715.0,14360739.0,715976.0,Underpaid
Michael Redd,2007-2008,1,96.15,14520000.0,14350932.0,169068.0,Underpaid
Al Horford,2014-2015,1,96.13,12000000.0,14319252.0,-2319252.0,Overpaid
Rasheed Wallace,2001-2002,1,96.11,14400000.0,14308940.0,91060.0,Underpaid
David Lee,2013-2014,1,96.09,13878000.0,14289653.0,-411653.0,Overpaid
DeMarcus Cousins,2014-2015,1,96.08,14746000.0,14263251.0,482749.0,Underpaid
Anfernee Hardaway,2005-2006,1,96.06,15750000.0,14256211.0,1493789.0,Underpaid
Kenyon Martin,2010-2011,1,96.04,16545454.0,14250471.0,2294983.0,Underpaid
Mike Bibby,2008-2009,1,96.02,14983603.0,14240654.0,742949.0,Underpaid
Elton Brand,2009-2010,1,96.0,14858472.0,14240364.0,618108.0,Underpaid
Michael Finley,2004-2005,1,95.98,14609000.0,14230316.0,378684.0,Underpaid
Elton Brand,2006-2007,1,95.96,14248000.0,14175799.0,72201.0,Underpaid
Marc Gasol,2013-2014,1,95.94,14860523.0,14161333.0,699190.0,Underpaid
Michael Finley,2002-2003,1,95.92,11953000.0,14147114.0,-2194114.0,Overpaid
Pau Gasol,2007-2008,1,95.9,13735000.0,14146204.0,-411204.0,Overpaid
Andre Iguodala,2011-2012,1,95.89,14718250.0,14129944.0,588306.0,Underpaid
Paul George,2014-2015,1,95.87,15937290.0,14129125.0,1808165.0,Underpaid
Chris Bosh,2010-2011,1,95.85,14500000.0,14110233.0,389767.0,Underpaid
Zach Randolph,2008-2009,1,95.83,14666667.0,14091443.0,575224.0,Underpaid
Paul Pierce,2010-2011,1,95.81,13876321.0,14071577.0,-195256.0,Overpaid
Rasheed Wallace,2006-2007,1,95.79,11650000.0,14068192.0,-2418192.0,Overpaid
Carmelo Anthony,2008-2009,1,95.77,14410581.0,14011558.0,399023.0,Underpaid
Andrew Bogut,2013-2014,1,95.75,14000000.0,13992226.0,7774.0,Underpaid
Blake Griffin,2014-2015,1,95.73,17674613.0,13958536.0,3716077.0,Underpaid
Shawn Marion,2005-2006,1,95.71,13700000.0,13955697.0,-255697.0,Overpaid
Keith Van Horn,2005-2006,1,95.7,15694250.0,13928629.0,1765621.0,Underpaid
Roy Hibbert,2013-2014,1,95.68,14283844.0,13877328.0,406516.0,Underpaid
Chauncey Billups,2009-2010,1,95.66,12100000.0,13870971.0,-1770971.0,Overpaid
Ben Wallace,2008-2009,1,95.64,14500000.0,13841214.0,658786.0,Underpaid
Yao Ming,2007-2008,1,95.62,13762775.0,13799176.0,-36401.0,Overpaid
Dwight Howard,2008-2009,1,95.6,13758000.0,13793567.0,-35567.0,Overpaid
Chris Webber,2004-2005,1,95.58,17351000.0,13771909.0,3579091.0,Underpaid
Carlos Boozer,2011-2012,1,95.56,13500000.0,13768937.0,-268937.0,Overpaid
Tony Parker,2012-2013,1,95.54,12500000.0,13763688.0,-1263688.0,Overpaid
Chris Bosh,2008-2009,1,95.53,14410581.0,13757412.0,653169.0,Underpaid
Damon Stoudamire,2003-2004,1,95.51,14625000.0,13728143.0,896857.0,Underpaid
Paul Pierce,2013-2014,1,95.49,15333334.0,13715531.0,1617803.0,Underpaid
Dirk Nowitzki,2005-2006,1,95.47,13843156.0,13714536.0,128620.0,Underpaid
Chris Kaman,2011-2012,1,95.45,14030000.0,13702786.0,327214.0,Underpaid
Marc Gasol,2012-2013,1,95.43,13891359.0,13680928.0,210431.0,Underpaid
Rashard Lewis,2007-2008,1,95.41,14884951.0,13680120.0,1204831.0,Underpaid
David Robinson,2001-2002,1,95.39,9500000.0,13660191.0,-4160191.0,Overpaid
Luol Deng,2012-2013,1,95.37,14275000.0,13641658.0,633342.0,Underpaid
Blake Griffin,2013-2014,1,95.35,16441500.0,13639275.0,2802225.0,Underpaid
Tim Duncan,2001-2002,1,95.34,10865000.0,13636753.0,-2771753.0,Overpaid
Rudy Gay,2011-2012,1,95.32,15032144.0,13632310.0,1399834.0,Underpaid
Gilbert Arenas,2009-2010,1,95.3,16192080.0,13617611.0,2574469.0,Underpaid
Rasheed Wallace,2008-2009,1,95.28,13930000.0,13601037.0,328963.0,Underpaid
Grant Hill,2004-2005,1,95.26,14487000.0,13600875.0,886125.0,Underpaid
Michael Redd,2006-2007,1,95.24,13260000.0,13586955.0,-326955.0,Overpaid
Al Jefferson,2012-2013,1,95.22,13500000.0,13574304.0,-74304.0,Overpaid
Latrell Sprewell,2003-2004,1,95.2,13500000.0,13565662.0,-65662.0,Overpaid
Joe Johnson,2008-2009,1,95.18,14232567.0,13561372.0,671195.0,Underpaid
Rudy Gay,2014-2015,1,95.16,19317326.0,13557708.0,5759618.0,Underpaid
Tim Duncan,2003-2004,1,95.15,13279000.0,13551598.0,-272598.0,Overpaid
Zach Randolph,2011-2012,1,95.13,15200000.0,13542599.0,1657401.0,Underpaid
Vince Carter,2005-2006,1,95.11,13843156.0,13529679.0,313477.0,Underpaid
Jason Richardson,2010-2011,1,95.09,14444443.0,13528423.0,916020.0,Underpaid
Tyson Chandler,2012-2013,1,95.07,13604188.0,13526025.0,78163.0,Underpaid
Dwight Howard,2010-2011,1,95.05,16647180.0,13521881.0,3125299.0,Underpaid
Vince Carter,2007-2008,1,95.03,13325000.0,13494509.0,-169509.0,Overpaid
Kevin Love,2012-2013,1,95.01,13668750.0,13487396.0,181354.0,Underpaid
Gary Payton,2002-2003,1,94.99,13080000.0,13478276.0,-398276.0,Overpaid
Elton Brand,2010-2011,1,94.98,15959099.0,13441416.0,2517683.0,Underpaid
Josh Smith,2013-2014,1,94.96,13500000.0,13429648.0,70352.0,Underpaid
Gary Payton,2001-2002,1,94.94,12926000.0,13425984.0,-499984.0,Overpaid
Manu Ginobili,2011-2012,1,94.92,14107492.0,13418996.0,688496.0,Underpaid
James Harden,2013-2014,1,94.9,13701250.0,13397215.0,304035.0,Underpaid
Nick Van Exel,2001-2002,1,94.88,9093000.0,13396085.0,-4303085.0,Overpaid
Tracy Mcgrady,2004-2005,1,94.86,14487000.0,13388705.0,1098295.0,Underpaid
Vince Carter,2004-2005,1,94.84,13281000.0,13357259.0,-76259.0,Overpaid
Ray Allen,2004-2005,1,94.82,14625000.0,13352044.0,1272956.0,Underpaid
Brook Lopez,2012-2013,1,94.8,13668750.0,13334972.0,333778.0,Underpaid
LaMarcus Aldridge,2012-2013,1,94.79,13500000.0,13333687.0,166313.0,Underpaid
Michael Finley,2003-2004,1,94.77,13281000.0,13313103.0,-32103.0,Overpaid
Peja Stojakovic,2009-2010,1,94.75,13392000.0,13263007.0,128993.0,Underpaid
Tim Duncan,2014-2015,1,94.73,10361446.0,13259219.0,-2897773.0,Overpaid
Chris Webber,2001-2002,1,94.71,12750000.0,13240979.0,-490979.0,Overpaid
Dirk Nowitzki,2012-2013,1,94.69,20907128.0,13240571.0,7666557.0,Underpaid
Tracy Mcgrady,2003-2004,1,94.67,13279000.0,13239392.0,39608.0,Underpaid
Tim Thomas,2005-2006,1,94.65,13975000.0,13226857.0,748143.0,Underpaid
Kobe Bryant,2003-2004,1,94.63,13500000.0,13219204.0,280796.0,Underpaid
Ray Allen,2003-2004,1,94.62,13500000.0,13194289.0,305711.0,Underpaid
Ray Allen,2009-2010,1,94.6,18776860.0,13190004.0,5586856.0,Underpaid
Shareef Abdur-Rahim,2004-2005,1,94.58,14625000.0,13179939.0,1445061.0,Underpaid
Elton Brand,2008-2009,1,94.56,13757844.0,13178261.0,579583.0,Underpaid
Andrew Bogut,2014-2015,1,94.54,12972973.0,13172549.0,-199576.0,Overpaid
Tyson Chandler,2013-2014,1,94.52,14100538.0,13170983.0,929555.0,Underpaid
Roy Hibbert,2014-2015,1,94.5,14898938.0,13155572.0,1743366.0,Underpaid
Jalen Rose,2003-2004,1,94.48,13279000.0,13112732.0,166268.0,Underpaid
Antawn Jamison,2005-2006,1,94.46,13843156.0,13108180.0,734976.0,Underpaid
Gordon Hayward,2014-2015,1,94.44,14746000.0,13105070.0,1640930.0,Underpaid
Luol Deng,2013-2014,1,94.43,14275000.0,13104009.0,1170991.0,Underpaid
Antawn Jamison,2010-2011,1,94.41,13358905.0,13102512.0,256393.0,Underpaid
Andrei Kirilenko,2007-2008,1,94.39,13735000.0,13076989.0,658011.0,Underpaid
Chris Paul,2009-2010,1,94.37,13520500.0,13059028.0,461472.0,Underpaid
Al Jefferson,2014-2015,1,94.35,13500000.0,13044138.0,455862.0,Underpaid
Antoine Walker,2003-2004,1,94.33,13500000.0,13014303.0,485697.0,Underpaid
Pau Gasol,2006-2007,1,94.31,12364000.0,13000491.0,-636491.0,Overpaid
Elton Brand,2005-2006,1,94.29,13152000.0,12998184.0,153816.0,Underpaid
Josh Smith,2011-2012,1,94.27,12400000.0,12996957.0,-596957.0,Overpaid
Lamar Odom,2007-2008,1,94.25,13248596.0,12994434.0,254162.0,Underpaid
Baron Davis,2010-2011,1,94.24,14000000.0,12973343.0,1026657.0,Underpaid
Jason Richardson,2009-2010,1,94.22,13333332.0,12949550.0,383782.0,Underpaid
Chauncey Billups,2010-2011,1,94.2,13150000.0,12939934.0,210066.0,Underpaid
Manu Ginobili,2012-2013,1,94.18,14107492.0,12915965.0,1191527.0,Underpaid
Tony Parker,2010-2011,1,94.16,13500000.0,12899271.0,600729.0,Underpaid
Ray Allen,2005-2006,1,94.14,13223140.0,12896635.0,326505.0,Underpaid
Zach Randolph,2009-2010,1,94.12,16000000.0,12854102.0,3145898.0,Underpaid
Marcus Camby,2005-2006,1,94.1,9400000.0,12851043.0,-3451043.0,Overpaid
LaMarcus Aldridge,2011-2012,1,94.08,14000000.0,12846258.0,1153742.0,Underpaid
Eric Gordon,2012-2013,1,94.07,13668750.0,12841068.0,827682.0,Underpaid
