Id,PLAYER,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Salary,Player_Comp_Share
484,Pat Spencer,GSW,28,39,24,15,6.4,2.5,1.1,2.6,40.6,0.1,0.6,22.7,0.3,0.4,73.3,0.4,0.8,1.2,1.2,0.5,0.4,0.1,0.5,6.6,0,0,-0.4,438810,7.31E-05
485,Dillon Jones,OKC,23,54,45,9,10.2,2.5,0.9,2.5,38.3,0.3,1.2,25.4,0.3,0.5,60.7,0.6,1.7,2.2,1.1,0.5,0.3,0.1,1,7.4,1,0,1.4,2622360,0.00043706
485,Trey Jemison III,LAL,25,38,17,21,10.3,2.5,1.1,1.9,55.4,0,0,0,0.3,0.9,39.4,1.2,1.6,2.8,0.4,0.6,0.2,0.4,1.8,7.7,0,0,-0.5,,
487,John Konchar,MEM,29,46,26,20,12.1,2.4,0.9,2,45.1,0.5,1.3,37.1,0.2,0.2,87.5,0.8,2.5,3.3,0.9,0.3,0.7,0.3,0.7,10.3,0,0,1.3,6165000,0.0010275
488,Christian Koloko,LAL,25,37,23,14,9.2,2.4,1.1,1.8,60.6,0,0.1,0,0.3,0.4,71.4,0.9,1.5,2.5,0.4,0.3,0.2,0.4,1.2,7.7,0,0,-0.2,,
489,Johnny Davis,WAS,23,34,4,30,7.1,2.4,0.9,2.3,41,0.2,0.9,24.1,0.3,0.4,60,0.3,0.8,1.1,0.3,0.2,0.4,0.2,0.5,5.8,0,0,-0.8,5291160,0.00088186
490,Miles Norris,BOS,25,3,2,1,11.6,2.3,0.7,3,22.2,0.7,2.3,28.6,0.3,0.7,50,0.7,2.3,3,0,0,0.7,0.3,0,8.9,0,0,-4.7,,
491,Mason Jones,SAC,26,10,4,6,4.5,2.3,0.9,1.8,50,0.1,0.8,12.5,0.4,0.5,80,0.2,0.7,0.9,1.1,0.1,0,0.1,0.3,5.2,0,0,0.1,,
492,Bronny James,LAL,20,27,17,10,6.7,2.3,0.8,2.5,31.3,0.3,1.2,28.1,0.4,0.5,78.6,0.1,0.5,0.7,0.8,0.5,0.3,0.1,0.5,5.2,0,0,-2.6,1157153,0.0001928588333
493,MarJon Beauchamp,NYK,24,35,19,16,4.5,2.3,0.8,1.9,41.5,0.3,0.8,34.5,0.4,0.6,75,0.3,0.9,1.3,0.3,0.4,0.1,0,0.4,4.2,0,0,0.3,2733720,0.00045562
494,Patrick Baldwin Jr.,LAC,22,24,3,21,4.4,2.2,0.8,1.5,54.3,0.5,1,56.5,0.1,0.2,50,0.2,0.8,1,0.1,0.2,0.1,0.1,0.3,4.1,0,0,1.2,2448840,0.00040814
495,TyTy Washington Jr.,PHX,23,16,4,12,7.4,2.2,0.9,2.8,31.1,0.3,1.3,19,0.2,0.4,50,0.3,0.6,0.8,1,0.2,0.2,0,0.3,5,0,0,0.1,,
496,Drew Peterson,BOS,25,25,17,8,7.4,2.2,0.7,1.6,41.5,0.5,1.3,39.4,0.3,0.4,77.8,0.4,1.2,1.6,0.5,0.3,0.2,0.1,0.7,5.4,0,0,1.8,,
497,Jordan McLaughlin,SAS,29,46,17,29,6.8,2.1,0.7,1.6,43.1,0.4,1,41.3,0.4,0.5,77.3,0.1,0.5,0.7,1.1,0.3,0.3,0,0.4,5.3,0,0,1.2,2087519,0.0003479198333
498,Chris Duarte,CHI,28,17,4,13,4.4,2.1,0.7,1.5,46.2,0.4,0.9,40,0.4,0.5,75,0.3,0.9,1.2,0.5,0.1,0,0,0.4,4.3,0,0,0.7,5893768,0.0009822946667
499,Enrique Freeman,IND,24,22,7,15,8.2,2.1,0.7,1.7,43.2,0,0.5,10,0.6,0.9,68.4,0.5,0.9,1.4,0.4,0.3,0.1,0.1,1,4.9,0,0,-0.9,,
500,Dwight Powell,DAL,33,55,25,30,10,2.1,0.8,1.1,68.9,0,0.1,40,0.5,0.8,65.1,0.9,1.3,2.1,1,0.3,0.3,0.4,1.4,7.9,0,0,-0.3,4000000,0.0006666666667
501,JD Davison,BOS,22,16,13,3,5.8,2.1,0.8,2.1,35.3,0.3,1.1,22.2,0.3,0.4,71.4,0.1,0.7,0.8,0.8,0.8,0.3,0.1,0.1,4.6,0,0,-1.8,,
502,Johnny Furphy,IND,20,50,31,19,7.6,2.1,0.7,1.8,38,0.3,1,30,0.4,0.4,81.8,0.5,1,1.4,0.4,0.2,0.4,0.2,0.8,5.8,0,0,0.4,1850842,0.0003084736667
503,Adama Sanogo,CHI,23,4,2,2,5.4,2,1,1.8,57.1,0,0,0,0,0,0,1.3,0.3,1.5,0.3,0.3,0,0,0.3,3.9,0,0,-1.3,,
503,Josh Christopher,MIA,23,14,9,5,5,2,0.8,2.2,35.5,0.1,0.8,18.2,0.3,0.4,66.7,0,0.6,0.6,0.6,0.4,0.4,0.2,0.1,4.9,0,0,-0.4,,
505,Tyler Kolek,NYK,24,41,27,14,7.2,2,0.7,2,32.9,0.3,1.1,29.8,0.3,0.4,76.5,0.2,0.5,0.7,1.7,0.4,0.3,0.1,0.6,6.1,0,0,0,2087519,0.0003479198333
506,Kobe Brown,LAC,25,40,25,15,6.8,1.9,0.8,1.8,45.8,0.2,0.7,23.1,0.1,0.2,71.4,0.5,1.2,1.6,0.6,0.3,0.2,0.1,0.6,5.3,0,0,-1.3,2533920,0.00042232
507,Ariel Hukporti,NYK,23,25,17,8,8.7,1.9,0.8,1.2,67.7,0,0,0,0.2,0.5,46.2,0.6,1.5,2,0.4,0.8,0,0.6,1.3,6.1,0,0,-2.5,1064558,0.0001774263333
508,Garrett Temple,TOR,39,28,11,17,8.1,1.9,0.6,2.1,30,0.2,1,21.4,0.4,0.4,91.7,0.3,0.7,1,1.1,0.4,0.6,0.1,0.8,6.5,0,0,-1,2087519,0.0003479198333
509,Bobi Klintman,DET,22,8,4,4,5.3,1.9,0.8,1.3,60,0.3,0.6,40,0.1,0.3,50,0.1,0.8,0.9,0.9,0.1,0.3,0.1,1,5.2,0,0,0,1257153,0.0002095255
510,Jericho Sims,MIL,26,53,34,19,11.9,1.8,0.8,1.3,63.4,0,0,0,0.2,0.2,61.5,1.3,2.4,3.7,0.6,0.6,0.2,0.4,1.2,8.3,0,0,0.5,2092344,0.000348724
511,Vlatko Čančar,DEN,28,13,2,11,10.4,1.8,0.8,2,38.5,0.3,1.2,26.7,0,0,0,0.5,2,2.5,0.7,0.8,0.2,0.2,0.8,6.1,0,0,-1.4,,
512,Jahmir Young,CHI,24,6,4,2,4.9,1.8,0.7,0.8,80,0.2,0.3,50,0.3,0.3,100,0.2,0.3,0.5,1,0.2,0,0,0.3,3.8,0,0,-1.2,,
512,Trentyn Flowers,LAC,20,6,4,2,4.4,1.8,0.7,1.8,36.4,0,0.3,0,0.5,0.5,100,0.2,0.5,0.7,0,0.2,0,0,0.7,2.5,0,0,-1,,
514,Adam Flagler,OKC,25,37,34,3,5.5,1.8,0.7,2.6,26,0.4,1.9,19.4,0,0.1,50,0.2,0.5,0.7,0.3,0.1,0.2,0.1,0.4,3.9,0,0,0.2,,
515,E.J. Liddell,CHI,24,12,6,6,4.4,1.8,0.7,1.3,53.3,0.3,0.8,30,0.2,0.2,100,0.3,0.5,0.8,0.3,0.2,0.1,0.1,0.9,3.4,0,0,-0.7,2120693,0.0003534488333
516,PJ Hall,DEN,23,19,12,7,3.5,1.7,0.7,1.3,58.3,0.1,0.4,25,0.2,0.2,75,0.3,0.8,1.2,0.2,0.1,0,0.2,0.6,4,0,0,-0.1,,
517,Tristan Thompson,CLE,34,40,31,9,8.2,1.7,0.8,1.8,43.7,0,0.1,0,0.2,0.8,23.3,0.8,2.6,3.4,0.6,0.4,0.1,0.3,0.9,7.3,0,0,-2.1,2087519,0.0003479198333
518,Alex Ducas,OKC,24,21,20,1,6,1.7,0.6,1.4,40,0.5,1,47.6,0.1,0.1,100,0.4,0.8,1.2,0.2,0.2,0.2,0,0.6,4.1,0,0,-1,,
519,Emanuel Miller,CHI,25,6,4,2,4.1,1.7,0.7,1.3,50,0,0.2,0,0.3,0.3,100,0.7,0.7,1.3,0.3,0,0.2,0,0.5,4.3,0,0,-1.3,,
519,Pacôme Dadiet,NYK,19,18,14,4,6.2,1.7,0.6,1.7,32.3,0.3,1.1,31.6,0.2,0.3,66.7,0.2,0.8,1,0.3,0.2,0.2,0.1,0.4,3.9,0,0,-0.9,,
521,Yuki Kawamura,MEM,24,22,17,5,4.2,1.6,0.5,1.4,36.7,0.3,1,30.4,0.3,0.4,77.8,0,0.5,0.5,0.9,0.2,0.1,0,0.4,3.6,0,0,1.2,,
522,Alex Len,LAL,32,46,21,25,8.3,1.6,0.7,1.4,50.8,0,0.2,22.2,0.2,0.4,47.1,0.8,1.2,2.1,0.8,0.4,0.2,0.5,1.2,6.8,0,0,-3.3,743829,0.0001239715
523,Phillip Wheeler,PHI,23,5,0,5,8.9,1.6,0.6,4.2,14.3,0,2,0,0.4,0.4,100,0.4,1.2,1.6,0.4,0.2,0.2,0.4,0.2,5.7,0,0,2.6,,
